measure,n,days,win_rate,pnl,expectancy,avg_win,avg_loss,payoff,max_drawdown,median,top1,top3_share,top5_share,ex_top5_pnl,entry_policy,entry_rule,asset,variant,price_bin,status,exp_ci95,p_perm,day_var,holm_adj_p
gross,300,30,0.6767,14.5888,0.048629,0.5497,-1.0,0.5497,10.3201,0.4925,0.6667,0.1371,0.2285,11.2555,GRID,T-12,ETH,YES_FAVORITE,"[0.60,0.70)",OK,"[-0.051264, 0.148341]",0.166417,7.346136,1.0
gross,267,30,0.7828,14.9764,0.056091,0.3492,-1.0,0.3492,6.5552,0.3333,0.4286,0.0858,0.1431,12.8336,GRID,T-12,ETH,YES_FAVORITE,"[0.70,0.80)",OK,"[-0.004498, 0.118299]",0.032484,2.275717,1.0
gross,126,30,0.8413,-0.0328,-0.00026,0.1884,-1.0,0.1884,6.3489,0.1765,0.25,-22.9001,-38.1668,-1.2828,GRID,T-12,ETH,YES_FAVORITE,"[0.80,0.90)",OK,"[-0.077458, 0.07148]",0.488756,0.76742,1.0
gross,48,21,0.9583,1.4318,0.029829,0.0746,-1.0,0.0746,1.0,0.0753,0.1111,0.2328,0.388,0.8762,GRID,T-12,ETH,YES_FAVORITE,"[0.90,0.99]",OK,"[-0.026148, 0.07823]",0.13993,0.080753,1.0
gross,3,3,0.0,-3.0,-1.0,0.0,-1.0,0.0,3.0,-1.0,-1.0,1.0,1.0,0.0,GRID,T-12,ETH,YES_OUTSIDER,"[0.01,0.05)",INSUFFICIENT_SAMPLE,,,,
gross,22,15,0.0909,4.7857,0.217532,12.3929,-1.0,12.3929,14.0,-1.0,13.2857,4.9701,4.5522,-17.0,GRID,T-12,ETH,YES_OUTSIDER,"[0.05,0.10)",OK,"[-1.0, 2.482143]",0.344328,23.148888,1.0
gross,47,22,0.0851,-15.29,-0.32532,6.9275,-1.0,6.9275,18.7662,-1.0,8.0909,-1.4105,-1.7469,-42.0,GRID,T-12,ETH,YES_OUTSIDER,"[0.10,0.15)",OK,"[-1.0, 0.41283]",0.830085,12.148417,1.0
gross,75,27,0.16,-3.6257,-0.048343,4.9479,-1.0,4.9479,18.6667,-1.0,5.6667,-4.5738,-7.4698,-30.7091,GRID,T-12,ETH,YES_OUTSIDER,"[0.15,0.20)",OK,"[-0.533208, 0.505511]",0.569715,14.292014,1.0
gross,86,26,0.2209,1.1965,0.013913,3.5893,-1.0,3.5893,18.0,-1.0,4.0,10.0292,16.7154,-18.8035,GRID,T-12,ETH,YES_OUTSIDER,"[0.20,0.25)",OK,"[-0.36718, 0.461138]",0.473263,13.314328,1.0
gross,122,29,0.2295,-18.7035,-0.153307,2.6892,-1.0,2.6892,30.2735,-1.0,3.0,-0.4812,-0.802,-33.7035,GRID,T-12,ETH,YES_OUTSIDER,"[0.25,0.30)",OK,"[-0.438966, 0.120024]",0.861569,10.44551,1.0
gross,145,29,0.2828,-18.851,-0.130007,2.0768,-1.0,2.0768,18.9002,-1.0,2.3333,-0.3713,-0.6132,-30.4101,GRID,T-12,ETH,YES_OUTSIDER,"[0.30,0.35)",OK,"[-0.315579, 0.084175]",0.893053,7.83664,1.0
gross,167,30,0.3234,-21.5933,-0.129301,1.6927,-1.0,1.6927,28.9015,-1.0,1.8571,-0.258,-0.43,-30.8791,GRID,T-12,ETH,YES_OUTSIDER,"[0.35,0.40)",OK,"[-0.3504, 0.098492]",0.87956,11.713171,1.0
gross,319,30,0.4201,-19.6725,-0.061669,1.2338,-1.0,1.2338,40.7331,-1.0,1.5,-0.2287,-0.3812,-27.1725,GRID,T-12,ETH,YES_OUTSIDER,"[0.40,0.50)",OK,"[-0.179148, 0.053654]",0.849075,11.72442,1.0
gross,70,17,0.4857,-3.5217,-0.05031,0.9552,-1.0,0.9552,10.3122,-1.0,1.0,-0.8519,-1.4198,-8.5217,GRID,T-12,ETH,YES_OUTSIDER,"[0.50,0.60)",OK,"[-0.276904, 0.15558]",0.696652,3.720781,1.0
