group,n_days,trading_impact_net,ci_low,ci_high,effect_folds_positive,drop_hurts_economics
regime,29,0.041773453604496184,-0.032679726284924764,0.14598128610872643,3,False
sequence,29,0.036855253791561696,0.006901709095671261,0.07237538873875994,4,True
trend,29,0.03322660852432974,-0.0065306159341225025,0.08827830948792982,3,False
time,29,0.032949255874822315,0.005296884834237842,0.0761164590122085,4,True
cross_asset_breadth,29,0.03114620968488574,-0.001936402349485659,0.07749679808540885,3,False
price_returns,29,0.02751342722850227,-0.0047910731825891876,0.07190043226376083,3,False
polymarket_state,29,0.024717554248079605,0.0026098727287320817,0.05331196252724863,3,True
volatility,29,0.018637757581734207,-0.0027407474362089903,0.04404148118819334,4,False
volume_taker_flow,29,0.015042109994251882,-0.022310057579583095,0.06317421241810009,3,False
