feature,fold,model_id,asset,version,n,mean_shap,abs_shap
dow_cos,F4,805,BTCUSDT_mid_vol,31,359,0.002170120672069993,0.002170120672069993
strike_gap_pct,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
log_moneyness,F4,805,BTCUSDT_mid_vol,31,359,0.0,0.0
ret_1,F5,805,BTCUSDT_mid_vol,31,726,0.0,0.0
ret_3,F5,805,BTCUSDT_mid_vol,31,726,-0.007051819639540681,0.007051819639540681
ret_6,F5,805,BTCUSDT_mid_vol,31,726,0.0,0.0
vol_6,F5,805,BTCUSDT_mid_vol,31,726,0.0,0.0
vol_24,F5,805,BTCUSDT_mid_vol,31,726,0.0,0.0
vol_z_1,F5,805,BTCUSDT_mid_vol,31,726,0.0,0.0
taker_buy_ratio,F5,805,BTCUSDT_mid_vol,31,726,0.0,0.0
cvd_1,F5,805,BTCUSDT_mid_vol,31,726,0.0,0.0
cvd_6,F5,805,BTCUSDT_mid_vol,31,726,0.0,0.0
rsi_14,F5,805,BTCUSDT_mid_vol,31,726,-0.0050647584120268345,0.0050647584120268345
ema_ratio_9_21,F5,805,BTCUSDT_mid_vol,31,726,0.0,0.0
bb_width,F5,805,BTCUSDT_mid_vol,31,726,0.0,0.0
bb_position,F5,805,BTCUSDT_mid_vol,31,726,0.0,0.0
dist_to_high_24,F5,805,BTCUSDT_mid_vol,31,726,0.0,0.0
dist_to_low_24,F5,805,BTCUSDT_mid_vol,31,726,0.0,0.0
range_1,F5,805,BTCUSDT_mid_vol,31,726,-0.0013928194492072398,0.0013928194492072398
range_avg_24,F5,805,BTCUSDT_mid_vol,31,726,0.0,0.0
consec_balance,F5,805,BTCUSDT_mid_vol,31,726,0.0,0.0
hour_sin,F5,805,BTCUSDT_mid_vol,31,726,0.0,0.0
hour_cos,F5,805,BTCUSDT_mid_vol,31,726,0.0,0.0
dow_sin,F5,805,BTCUSDT_mid_vol,31,726,0.0,0.0
dow_cos,F5,805,BTCUSDT_mid_vol,31,726,-0.0012186707984970426,0.0012186707984970426
strike_gap_pct,F5,805,BTCUSDT_mid_vol,31,726,0.0,0.0
log_moneyness,F5,805,BTCUSDT_mid_vol,31,726,0.0,0.0
ret_1,F6,805,BTCUSDT_mid_vol,31,583,0.0,0.0
ret_3,F6,805,BTCUSDT_mid_vol,31,583,-0.004331312364253931,0.004331312364253931
ret_6,F6,805,BTCUSDT_mid_vol,31,583,0.0,0.0
vol_6,F6,805,BTCUSDT_mid_vol,31,583,0.0,0.0
vol_24,F6,805,BTCUSDT_mid_vol,31,583,0.0,0.0
vol_z_1,F6,805,BTCUSDT_mid_vol,31,583,0.0,0.0
taker_buy_ratio,F6,805,BTCUSDT_mid_vol,31,583,0.0,0.0
cvd_1,F6,805,BTCUSDT_mid_vol,31,583,0.0,0.0
cvd_6,F6,805,BTCUSDT_mid_vol,31,583,0.0,0.0
rsi_14,F6,805,BTCUSDT_mid_vol,31,583,-0.008361867306930573,0.008361867306930573
ema_ratio_9_21,F6,805,BTCUSDT_mid_vol,31,583,0.0,0.0
bb_width,F6,805,BTCUSDT_mid_vol,31,583,0.0,0.0
bb_position,F6,805,BTCUSDT_mid_vol,31,583,0.0,0.0
dist_to_high_24,F6,805,BTCUSDT_mid_vol,31,583,0.0,0.0
dist_to_low_24,F6,805,BTCUSDT_mid_vol,31,583,0.0,0.0
range_1,F6,805,BTCUSDT_mid_vol,31,583,0.0005444852421454852,0.0005444852421454852
range_avg_24,F6,805,BTCUSDT_mid_vol,31,583,0.0,0.0
consec_balance,F6,805,BTCUSDT_mid_vol,31,583,0.0,0.0
hour_sin,F6,805,BTCUSDT_mid_vol,31,583,0.0,0.0
hour_cos,F6,805,BTCUSDT_mid_vol,31,583,0.0,0.0
dow_sin,F6,805,BTCUSDT_mid_vol,31,583,0.0,0.0
dow_cos,F6,805,BTCUSDT_mid_vol,31,583,0.0023254013596892067,0.0023254013596892067
strike_gap_pct,F6,805,BTCUSDT_mid_vol,31,583,0.0,0.0
log_moneyness,F6,805,BTCUSDT_mid_vol,31,583,0.0,0.0
ret_1,F4,812,SOLUSDT_high_vol,25,2000,0.0004984862125953556,0.0004984862125953556
ret_3,F4,812,SOLUSDT_high_vol,25,2000,-0.004632941303073995,0.004632941303073995
ret_6,F4,812,SOLUSDT_high_vol,25,2000,-0.01897227535068204,0.01897227535068204
vol_6,F4,812,SOLUSDT_high_vol,25,2000,0.0011085032569826136,0.0011085032569826136
vol_24,F4,812,SOLUSDT_high_vol,25,2000,-0.0028449783144439494,0.0028449783144439494
vol_z_1,F4,812,SOLUSDT_high_vol,25,2000,0.0003984757585434695,0.0003984757585434695
taker_buy_ratio,F4,812,SOLUSDT_high_vol,25,2000,0.0,0.0
cvd_1,F4,812,SOLUSDT_high_vol,25,2000,0.00169637353635091,0.00169637353635091
cvd_6,F4,812,SOLUSDT_high_vol,25,2000,0.0010391915452586647,0.0010391915452586647
rsi_14,F4,812,SOLUSDT_high_vol,25,2000,0.0,0.0
ema_ratio_9_21,F4,812,SOLUSDT_high_vol,25,2000,0.0,0.0
bb_width,F4,812,SOLUSDT_high_vol,25,2000,0.0,0.0
bb_position,F4,812,SOLUSDT_high_vol,25,2000,0.0,0.0
dist_to_high_24,F4,812,SOLUSDT_high_vol,25,2000,0.0,0.0
dist_to_low_24,F4,812,SOLUSDT_high_vol,25,2000,-0.012833452157236592,0.012833452157236592
range_1,F4,812,SOLUSDT_high_vol,25,2000,0.0037333979551001477,0.0037333979551001477
range_avg_24,F4,812,SOLUSDT_high_vol,25,2000,-0.0013753758371046608,0.0013753758371046608
consec_balance,F4,812,SOLUSDT_high_vol,25,2000,0.0,0.0
hour_sin,F4,812,SOLUSDT_high_vol,25,2000,-0.0001557661699895561,0.0001557661699895561
hour_cos,F4,812,SOLUSDT_high_vol,25,2000,0.0,0.0
dow_sin,F4,812,SOLUSDT_high_vol,25,2000,0.0,0.0
dow_cos,F4,812,SOLUSDT_high_vol,25,2000,-0.0035683447273025014,0.0035683447273025014
strike_gap_pct,F4,812,SOLUSDT_high_vol,25,2000,0.0,0.0
log_moneyness,F4,812,SOLUSDT_high_vol,25,2000,0.0,0.0
ret_1,F5,812,SOLUSDT_high_vol,25,2000,0.003372336952651231,0.003372336952651231
ret_3,F5,812,SOLUSDT_high_vol,25,2000,-0.005206097896078796,0.005206097896078796
ret_6,F5,812,SOLUSDT_high_vol,25,2000,-0.021977732770106024,0.021977732770106024
vol_6,F5,812,SOLUSDT_high_vol,25,2000,0.002904931371951873,0.002904931371951873
vol_24,F5,812,SOLUSDT_high_vol,25,2000,-0.005456146233276845,0.005456146233276845
vol_z_1,F5,812,SOLUSDT_high_vol,25,2000,0.00039253339783613337,0.00039253339783613337
taker_buy_ratio,F5,812,SOLUSDT_high_vol,25,2000,0.0,0.0
cvd_1,F5,812,SOLUSDT_high_vol,25,2000,0.001544326056213309,0.001544326056213309
cvd_6,F5,812,SOLUSDT_high_vol,25,2000,-0.0002953936501160819,0.0002953936501160819
rsi_14,F5,812,SOLUSDT_high_vol,25,2000,0.0,0.0
ema_ratio_9_21,F5,812,SOLUSDT_high_vol,25,2000,0.0,0.0
bb_width,F5,812,SOLUSDT_high_vol,25,2000,0.0,0.0
bb_position,F5,812,SOLUSDT_high_vol,25,2000,0.0,0.0
dist_to_high_24,F5,812,SOLUSDT_high_vol,25,2000,0.0,0.0
dist_to_low_24,F5,812,SOLUSDT_high_vol,25,2000,-0.00945150489248929,0.00945150489248929
range_1,F5,812,SOLUSDT_high_vol,25,2000,0.004476083243726682,0.004476083243726682
range_avg_24,F5,812,SOLUSDT_high_vol,25,2000,0.002150135045420111,0.002150135045420111
consec_balance,F5,812,SOLUSDT_high_vol,25,2000,0.0,0.0
hour_sin,F5,812,SOLUSDT_high_vol,25,2000,0.0003937506536686365,0.0003937506536686365
hour_cos,F5,812,SOLUSDT_high_vol,25,2000,0.0,0.0
dow_sin,F5,812,SOLUSDT_high_vol,25,2000,0.0,0.0
dow_cos,F5,812,SOLUSDT_high_vol,25,2000,-0.0022276069688767965,0.0022276069688767965
strike_gap_pct,F5,812,SOLUSDT_high_vol,25,2000,0.0,0.0
log_moneyness,F5,812,SOLUSDT_high_vol,25,2000,0.0,0.0
ret_1,F6,812,SOLUSDT_high_vol,25,1747,0.0007183760664936844,0.0007183760664936844
ret_3,F6,812,SOLUSDT_high_vol,25,1747,-0.005189665045910964,0.005189665045910964
ret_6,F6,812,SOLUSDT_high_vol,25,1747,-0.015892870533306114,0.015892870533306114
vol_6,F6,812,SOLUSDT_high_vol,25,1747,0.0030741736749292235,0.0030741736749292235
vol_24,F6,812,SOLUSDT_high_vol,25,1747,-0.006658220861921461,0.006658220861921461
vol_z_1,F6,812,SOLUSDT_high_vol,25,1747,0.001539141829269428,0.001539141829269428
taker_buy_ratio,F6,812,SOLUSDT_high_vol,25,1747,0.0,0.0
cvd_1,F6,812,SOLUSDT_high_vol,25,1747,0.0019397790180005362,0.0019397790180005362
cvd_6,F6,812,SOLUSDT_high_vol,25,1747,0.0017705544712466627,0.0017705544712466627
rsi_14,F6,812,SOLUSDT_high_vol,25,1747,0.0,0.0
ema_ratio_9_21,F6,812,SOLUSDT_high_vol,25,1747,0.0,0.0
bb_width,F6,812,SOLUSDT_high_vol,25,1747,0.0,0.0
bb_position,F6,812,SOLUSDT_high_vol,25,1747,0.0,0.0
dist_to_high_24,F6,812,SOLUSDT_high_vol,25,1747,0.0,0.0
dist_to_low_24,F6,812,SOLUSDT_high_vol,25,1747,-0.010526807530068244,0.010526807530068244
range_1,F6,812,SOLUSDT_high_vol,25,1747,0.004024335058510991,0.004024335058510991
range_avg_24,F6,812,SOLUSDT_high_vol,25,1747,0.002687331245410673,0.002687331245410673
consec_balance,F6,812,SOLUSDT_high_vol,25,1747,0.0,0.0
hour_sin,F6,812,SOLUSDT_high_vol,25,1747,0.0002042520044712284,0.0002042520044712284
hour_cos,F6,812,SOLUSDT_high_vol,25,1747,0.0,0.0
dow_sin,F6,812,SOLUSDT_high_vol,25,1747,0.0,0.0
dow_cos,F6,812,SOLUSDT_high_vol,25,1747,-0.004137580684355371,0.004137580684355371
strike_gap_pct,F6,812,SOLUSDT_high_vol,25,1747,0.0,0.0
log_moneyness,F6,812,SOLUSDT_high_vol,25,1747,0.0,0.0
ret_1,F4,815,XRPUSDT_high_vol,26,757,0.006437877177472696,0.006437877177472696
ret_3,F4,815,XRPUSDT_high_vol,26,757,-0.0015968104809227749,0.0015968104809227749
ret_6,F4,815,XRPUSDT_high_vol,26,757,0.0,0.0
vol_6,F4,815,XRPUSDT_high_vol,26,757,0.0,0.0
vol_24,F4,815,XRPUSDT_high_vol,26,757,0.0013286557544634832,0.0013286557544634832
vol_z_1,F4,815,XRPUSDT_high_vol,26,757,0.006194713497940747,0.006194713497940747
taker_buy_ratio,F4,815,XRPUSDT_high_vol,26,757,-0.00715353174585241,0.00715353174585241
cvd_1,F4,815,XRPUSDT_high_vol,26,757,0.0,0.0
cvd_6,F4,815,XRPUSDT_high_vol,26,757,-0.0007920401037898071,0.0007920401037898071
rsi_14,F4,815,XRPUSDT_high_vol,26,757,-9.171679812143708e-05,9.171679812143708e-05
ema_ratio_9_21,F4,815,XRPUSDT_high_vol,26,757,0.0,0.0
bb_width,F4,815,XRPUSDT_high_vol,26,757,-0.005737131527809784,0.005737131527809784
bb_position,F4,815,XRPUSDT_high_vol,26,757,-0.00023260398989376142,0.00023260398989376142
dist_to_high_24,F4,815,XRPUSDT_high_vol,26,757,0.013145306488913888,0.013145306488913888
dist_to_low_24,F4,815,XRPUSDT_high_vol,26,757,-0.014703037606901224,0.014703037606901224
range_1,F4,815,XRPUSDT_high_vol,26,757,-0.0007678897462686579,0.0007678897462686579
range_avg_24,F4,815,XRPUSDT_high_vol,26,757,0.009611149512851518,0.009611149512851518
consec_balance,F4,815,XRPUSDT_high_vol,26,757,0.0,0.0
hour_sin,F4,815,XRPUSDT_high_vol,26,757,-0.0025733692173142753,0.0025733692173142753
hour_cos,F4,815,XRPUSDT_high_vol,26,757,-0.00516114780783378,0.00516114780783378
dow_sin,F4,815,XRPUSDT_high_vol,26,757,0.001857383217567783,0.001857383217567783
dow_cos,F4,815,XRPUSDT_high_vol,26,757,0.0,0.0
strike_gap_pct,F4,815,XRPUSDT_high_vol,26,757,0.0,0.0
log_moneyness,F4,815,XRPUSDT_high_vol,26,757,0.0,0.0
ret_1,F5,815,XRPUSDT_high_vol,26,1886,0.0017425316055313992,0.0017425316055313992
ret_3,F5,815,XRPUSDT_high_vol,26,1886,-0.0006739301421918002,0.0006739301421918002
ret_6,F5,815,XRPUSDT_high_vol,26,1886,0.0,0.0
vol_6,F5,815,XRPUSDT_high_vol,26,1886,0.0,0.0
vol_24,F5,815,XRPUSDT_high_vol,26,1886,0.0025995442413310546,0.0025995442413310546
vol_z_1,F5,815,XRPUSDT_high_vol,26,1886,-0.00018273287935541502,0.00018273287935541502
taker_buy_ratio,F5,815,XRPUSDT_high_vol,26,1886,-0.002680687514527662,0.002680687514527662
cvd_1,F5,815,XRPUSDT_high_vol,26,1886,0.0,0.0
cvd_6,F5,815,XRPUSDT_high_vol,26,1886,-0.0016365879130597915,0.0016365879130597915
rsi_14,F5,815,XRPUSDT_high_vol,26,1886,-0.00015897731992618947,0.00015897731992618947
ema_ratio_9_21,F5,815,XRPUSDT_high_vol,26,1886,0.0,0.0
bb_width,F5,815,XRPUSDT_high_vol,26,1886,-0.005225700002410113,0.005225700002410113
bb_position,F5,815,XRPUSDT_high_vol,26,1886,-0.0001706933000625919,0.0001706933000625919
dist_to_high_24,F5,815,XRPUSDT_high_vol,26,1886,0.006589154864145757,0.006589154864145757
dist_to_low_24,F5,815,XRPUSDT_high_vol,26,1886,-0.009011623567672065,0.009011623567672065
range_1,F5,815,XRPUSDT_high_vol,26,1886,-0.0006697289128269703,0.0006697289128269703
range_avg_24,F5,815,XRPUSDT_high_vol,26,1886,0.017084762998181763,0.017084762998181763
consec_balance,F5,815,XRPUSDT_high_vol,26,1886,0.0,0.0
hour_sin,F5,815,XRPUSDT_high_vol,26,1886,-0.001088304668847975,0.001088304668847975
hour_cos,F5,815,XRPUSDT_high_vol,26,1886,0.003106065032565086,0.003106065032565086
dow_sin,F5,815,XRPUSDT_high_vol,26,1886,0.0018542738095971066,0.0018542738095971066
dow_cos,F5,815,XRPUSDT_high_vol,26,1886,0.0,0.0
strike_gap_pct,F5,815,XRPUSDT_high_vol,26,1886,0.0,0.0
log_moneyness,F5,815,XRPUSDT_high_vol,26,1886,0.0,0.0
ret_1,F6,815,XRPUSDT_high_vol,26,1573,0.0007516552679029443,0.0007516552679029443
ret_3,F6,815,XRPUSDT_high_vol,26,1573,-0.0005706386342866301,0.0005706386342866301
ret_6,F6,815,XRPUSDT_high_vol,26,1573,0.0,0.0
vol_6,F6,815,XRPUSDT_high_vol,26,1573,0.0,0.0
vol_24,F6,815,XRPUSDT_high_vol,26,1573,0.0029982536062081616,0.0029982536062081616
vol_z_1,F6,815,XRPUSDT_high_vol,26,1573,-0.0006443631593253011,0.0006443631593253011
taker_buy_ratio,F6,815,XRPUSDT_high_vol,26,1573,-0.00208472785405671,0.00208472785405671
cvd_1,F6,815,XRPUSDT_high_vol,26,1573,0.0,0.0
cvd_6,F6,815,XRPUSDT_high_vol,26,1573,-0.000952537509232685,0.000952537509232685
rsi_14,F6,815,XRPUSDT_high_vol,26,1573,-0.007087075917731036,0.007087075917731036
ema_ratio_9_21,F6,815,XRPUSDT_high_vol,26,1573,0.0,0.0
bb_width,F6,815,XRPUSDT_high_vol,26,1573,-0.004817384085677289,0.004817384085677289
bb_position,F6,815,XRPUSDT_high_vol,26,1573,-6.118079737653015e-06,6.118079737653015e-06
dist_to_high_24,F6,815,XRPUSDT_high_vol,26,1573,0.0032963803612341,0.0032963803612341
dist_to_low_24,F6,815,XRPUSDT_high_vol,26,1573,-0.010146390454312912,0.010146390454312912
range_1,F6,815,XRPUSDT_high_vol,26,1573,0.0013499063177601245,0.0013499063177601245
range_avg_24,F6,815,XRPUSDT_high_vol,26,1573,0.018683713097067525,0.018683713097067525
consec_balance,F6,815,XRPUSDT_high_vol,26,1573,0.0,0.0
hour_sin,F6,815,XRPUSDT_high_vol,26,1573,-0.0014029008337465721,0.0014029008337465721
hour_cos,F6,815,XRPUSDT_high_vol,26,1573,0.006415653076696727,0.006415653076696727
dow_sin,F6,815,XRPUSDT_high_vol,26,1573,-0.00047832381954704455,0.00047832381954704455
dow_cos,F6,815,XRPUSDT_high_vol,26,1573,0.0,0.0
strike_gap_pct,F6,815,XRPUSDT_high_vol,26,1573,0.0,0.0
log_moneyness,F6,815,XRPUSDT_high_vol,26,1573,0.0,0.0
ret_1,F4,816,DOGEUSDT_low_vol,25,2000,-0.015522498852972943,0.015522498852972943
ret_3,F4,816,DOGEUSDT_low_vol,25,2000,-0.06434104571199574,0.06434104571199574
ret_6,F4,816,DOGEUSDT_low_vol,25,2000,-0.0017675397578385513,0.0017675397578385513
vol_6,F4,816,DOGEUSDT_low_vol,25,2000,-0.010548136686387747,0.010548136686387747
vol_24,F4,816,DOGEUSDT_low_vol,25,2000,-0.02076658609146103,0.02076658609146103
vol_z_1,F4,816,DOGEUSDT_low_vol,25,2000,0.001282582983934265,0.001282582983934265
taker_buy_ratio,F4,816,DOGEUSDT_low_vol,25,2000,0.00648701033007378,0.00648701033007378
cvd_1,F4,816,DOGEUSDT_low_vol,25,2000,-0.0003625237559699599,0.0003625237559699599
cvd_6,F4,816,DOGEUSDT_low_vol,25,2000,0.0026536043964888573,0.0026536043964888573
rsi_14,F4,816,DOGEUSDT_low_vol,25,2000,0.016291444083984977,0.016291444083984977
ema_ratio_9_21,F4,816,DOGEUSDT_low_vol,25,2000,-0.027085317833586885,0.027085317833586885
bb_width,F4,816,DOGEUSDT_low_vol,25,2000,0.02335240368159763,0.02335240368159763
bb_position,F4,816,DOGEUSDT_low_vol,25,2000,-0.041795424807608623,0.041795424807608623
dist_to_high_24,F4,816,DOGEUSDT_low_vol,25,2000,-0.007478586518902098,0.007478586518902098
dist_to_low_24,F4,816,DOGEUSDT_low_vol,25,2000,-0.032888578879959024,0.032888578879959024
range_1,F4,816,DOGEUSDT_low_vol,25,2000,0.1476295669694252,0.1476295669694252
range_avg_24,F4,816,DOGEUSDT_low_vol,25,2000,-0.11032395448706125,0.11032395448706125
consec_balance,F4,816,DOGEUSDT_low_vol,25,2000,-0.0006657927342235734,0.0006657927342235734
hour_sin,F4,816,DOGEUSDT_low_vol,25,2000,0.001793766895993006,0.001793766895993006
hour_cos,F4,816,DOGEUSDT_low_vol,25,2000,0.003328375222775704,0.003328375222775704
dow_sin,F4,816,DOGEUSDT_low_vol,25,2000,0.010365744414245207,0.010365744414245207
dow_cos,F4,816,DOGEUSDT_low_vol,25,2000,0.009991817423443704,0.009991817423443704
strike_gap_pct,F4,816,DOGEUSDT_low_vol,25,2000,0.0,0.0
log_moneyness,F4,816,DOGEUSDT_low_vol,25,2000,0.0,0.0
ret_1,F5,816,DOGEUSDT_low_vol,25,2000,-0.0038230950779086486,0.0038230950779086486
ret_3,F5,816,DOGEUSDT_low_vol,25,2000,0.005740197989826663,0.005740197989826663
ret_6,F5,816,DOGEUSDT_low_vol,25,2000,-0.0056424403844092886,0.0056424403844092886
vol_6,F5,816,DOGEUSDT_low_vol,25,2000,-0.009697713848614746,0.009697713848614746
vol_24,F5,816,DOGEUSDT_low_vol,25,2000,-0.01145732259097722,0.01145732259097722
vol_z_1,F5,816,DOGEUSDT_low_vol,25,2000,-0.000968543598031422,0.000968543598031422
taker_buy_ratio,F5,816,DOGEUSDT_low_vol,25,2000,0.004042333655564957,0.004042333655564957
cvd_1,F5,816,DOGEUSDT_low_vol,25,2000,0.00018347599229484834,0.00018347599229484834
cvd_6,F5,816,DOGEUSDT_low_vol,25,2000,0.006505671726355162,0.006505671726355162
rsi_14,F5,816,DOGEUSDT_low_vol,25,2000,0.00435898916549205,0.00435898916549205
ema_ratio_9_21,F5,816,DOGEUSDT_low_vol,25,2000,-0.004348480742902746,0.004348480742902746
bb_width,F5,816,DOGEUSDT_low_vol,25,2000,0.0015198406934942472,0.0015198406934942472
bb_position,F5,816,DOGEUSDT_low_vol,25,2000,-0.0018606472386431,0.0018606472386431
dist_to_high_24,F5,816,DOGEUSDT_low_vol,25,2000,-0.00034691941632184235,0.00034691941632184235
