group,n_folds,delta_logloss_mean,delta_brier_mean,pnl_impact_mean,positive_folds_brier,positive_folds_ll
polymarket_state,4,-0.0008229772621120013,-0.0005779597133937428,-0.011223638606530731,3,3
trend,4,-0.0007981922497099225,-0.0002826214100804386,-0.0028465019319353743,2,2
sequence,4,8.111829283513616e-05,-0.00012991016044427983,-0.01173143598440519,3,3
price_returns,4,-5.8271830165324e-05,-2.034614931601536e-05,0.002076448653646171,2,2
time,4,0.0011290801718702448,0.0003403443616103799,-0.01118169378913109,2,2
volume_taker_flow,4,0.0021189055052655836,0.0005476356958073608,-0.0032307047016091133,3,2
volatility,4,0.0027268799263766297,0.0011324682243200879,-0.0058052588560958554,1,1
cross_asset_breadth,4,0.003251864107791741,0.0011828807555460605,-0.004716817636225854,0,0
regime,4,0.00302709964581635,0.0012959672743178552,-0.013568222277208565,0,0
