feature,target_cohort,fold,n_train,n_val,auc,logloss,p_perm,p_holm
dist_to_low_96,contract,F3,239094,112073,0.5302676079725073,0.6943196372617599,,
dow,contract,F3,239094,112073,0.5103637386231958,0.6957579881333743,,
dow_cos,contract,F3,239094,112073,0.5049043603850641,0.6954007759584092,,
dow_sin,contract,F3,239094,112073,0.4876222654263196,0.6956700009203013,,
ema_ratio_9_21,contract,F3,239094,112073,0.533888926187245,0.6947888770490023,,
funding_extreme,contract,F3,0,0,,,,
funding_rate,contract,F3,0,0,,,,
funding_rate_ma3,contract,F3,0,0,,,,
high_price_final,contract,F3,239094,112073,0.5081277692576485,0.6953828476928428,,
hour_cos,contract,F3,239094,112073,0.46764712734180164,0.7004779616393948,,
hour_of_day,contract,F3,239094,112073,0.4922069629216876,0.6959008737490324,,
hour_sin,contract,F3,239094,112073,0.48463525706004296,0.6954651869973051,,
hour_utc,contract,F3,239094,112073,0.4922069629216876,0.6959008737490324,,
is_final_phase,contract,F3,239094,112073,0.5,0.6953998043838402,,
log_moneyness,contract,F3,0,0,,,,
log_time_left,contract,F3,239094,112073,0.5,0.6953998043838402,,
mid_price,contract,F3,239094,112073,0.8280346239616613,0.5051578371213196,,
pm_best_ask,contract,F3,239094,112073,0.8272056920121784,0.5060368581721479,,
pm_best_bid,contract,F3,239094,112073,0.8275822901765472,0.5060488581870306,,
pm_momentum_5m,contract,F3,239094,112073,0.6304232059716495,0.6776476743569504,,
pm_quote_pressure,contract,F3,239094,112073,0.8280328841501898,0.5051578371213196,,
pm_spread_pct,contract,F3,239094,112073,0.7536371255627863,0.6226345843646225,,
pm_volume_5m,contract,F3,239094,112073,0.5,0.6953998043838402,,
price_deviation,contract,F3,239094,112073,0.5081277692576485,0.6953828476928428,,
price_deviation_sq,contract,F3,239094,112073,0.5081277692576485,0.6953814989060211,,
price_distance_from_max,contract,F3,239094,112073,0.7782336166105008,0.5632677278753507,,
price_momentum,contract,F3,238426,111761,0.6999430489625681,0.6424423234476293,,
price_velocity,contract,F3,239094,112073,0.6304232059716495,0.6776476743569504,,
