variant,group,fold,n_train,n_val,logloss,brier,canonical_pnl,best_iter,delta_logloss,delta_brier,delta_canonical_pnl
ALL,,F3,105000,112073,0.5562575222683993,0.19033356847606794,-0.1060582946285241,250,0.0,0.0,0.0
DROP_GROUP_cross_asset_breadth,cross_asset_breadth,F3,105000,112073,0.5570404028403543,0.19040818223794828,-0.10043044617261798,250,0.0007828805719549692,7.461376188033775e-05,0.005627848455906123
ONLY_GROUP_cross_asset_breadth,cross_asset_breadth,F3,105000,112073,0.78160823548813,0.28232129872237194,-0.1642508000070323,250,0.22535071321973066,0.091987730246304,-0.05819250537850819
DROP_GROUP_polymarket_state,polymarket_state,F3,105000,112073,0.5532526021840249,0.18884545672131936,-0.10043861114412306,250,-0.003004920084374363,-0.0014881117547485834,0.005619683484401047
ONLY_GROUP_polymarket_state,polymarket_state,F3,105000,112073,0.5074193942142293,0.17228532838758276,-0.05380866828328385,250,-0.04883812805416998,-0.018048240088485185,0.05224962634524025
DROP_GROUP_price_returns,price_returns,F3,105000,112073,0.5465464596935764,0.18690105629760034,-0.08395049377585323,250,-0.009711062574822904,-0.0034325121784676005,0.022107800852670875
ONLY_GROUP_price_returns,price_returns,F3,105000,112073,0.7494295326340331,0.2715731102973717,-0.16586500000080093,250,0.1931720103656338,0.08123954182130375,-0.05980670537227682
DROP_GROUP_regime,regime,F3,105000,112073,0.5577542635899561,0.1914386408693594,-0.1159439988131428,250,0.0014967413215567493,0.0011050723932914674,-0.00988570418461869
ONLY_GROUP_regime,regime,F3,105000,112073,0.8030780660140958,0.28523501336752644,-0.15412772968028013,250,0.2468205437456965,0.09490144489145849,-0.048069435051756024
DROP_GROUP_sequence,sequence,F3,105000,112073,0.5548219967787955,0.19002630307139623,-0.10427917964388467,250,-0.001435525489603795,-0.0003072654046717138,0.0017791149846394377
ONLY_GROUP_sequence,sequence,F3,105000,112073,0.5470115823687595,0.18714840839132735,-0.09397307110970944,250,-0.009245939899639843,-0.003185160084740596,0.012085223518814664
DROP_GROUP_time,time,F3,105000,112073,0.5615851610645304,0.1923993832169249,-0.12301239672773945,250,0.005327638796131073,0.0020658147408569583,-0.016954102099215343
ONLY_GROUP_time,time,F3,105000,112073,0.8180981218705974,0.29474889231819523,-0.1990107038843639,250,0.2618405996021981,0.10441532384212729,-0.0929524092558398
DROP_GROUP_trend,trend,F3,105000,112073,0.545249917847915,0.18660861914135193,-0.10699873406598934,250,-0.011007604420484318,-0.00372494933471601,-0.000940439437465232
ONLY_GROUP_trend,trend,F3,105000,112073,0.7636874473898994,0.2768881240825513,-0.1595983782231163,250,0.20742992512150005,0.08655455560648337,-0.05354008359459218
DROP_GROUP_volatility,volatility,F3,105000,112073,0.5527134865010748,0.1893797304058247,-0.10375067162767648,250,-0.003544035767324538,-0.0009538380702432403,0.0023076230008476223
ONLY_GROUP_volatility,volatility,F3,105000,112073,0.7702417803737381,0.2812133157256392,-0.17386133683833294,250,0.21398425810533883,0.09087974724957124,-0.06780304220980883
DROP_GROUP_volume_taker_flow,volume_taker_flow,F3,105000,112073,0.5542053274592375,0.18916342439960848,-0.09191820959602419,250,-0.002052194809161856,-0.0011701440764594617,0.014140085032499916
ONLY_GROUP_volume_taker_flow,volume_taker_flow,F3,105000,112073,0.7627799671086866,0.2790758429868144,-0.17537766271817803,250,0.20652244484028726,0.08874227451074648,-0.06931936808965393
