bin,lo,hi,n,acc,conf,model,split
0,0.0,0.1,3332,0.059424,0.045609,M2,train
1,0.1,0.2,2952,0.144648,0.151576,M2,train
2,0.2,0.3,3607,0.244802,0.251475,M2,train
3,0.3,0.4,4287,0.337999,0.351465,M2,train
4,0.4,0.5,5110,0.45225,0.452609,M2,train
5,0.5,0.6,4608,0.544705,0.549554,M2,train
6,0.6,0.7,4016,0.657371,0.648517,M2,train
7,0.7,0.8,3251,0.761612,0.746999,M2,train
8,0.8,0.9,2824,0.854816,0.8497,M2,train
9,0.9,1.0,3187,0.949482,0.954681,M2,train
0,0.0,0.1,936,0.092949,0.046406,M2,validation
1,0.1,0.2,878,0.165148,0.150597,M2,validation
2,0.2,0.3,1059,0.226629,0.252009,M2,validation
3,0.3,0.4,1351,0.330126,0.350828,M2,validation
4,0.4,0.5,1855,0.443666,0.456433,M2,validation
5,0.5,0.6,1587,0.565217,0.549292,M2,validation
6,0.6,0.7,1445,0.680969,0.64991,M2,validation
7,0.7,0.8,1118,0.745975,0.747656,M2,validation
8,0.8,0.9,966,0.86646,0.849593,M2,validation
9,0.9,1.0,995,0.949749,0.95579,M2,validation
0,0.0,0.1,1080,0.05463,0.048511,M2,test
1,0.1,0.2,1005,0.157214,0.150811,M2,test
2,0.2,0.3,1188,0.231481,0.251875,M2,test
3,0.3,0.4,1457,0.327385,0.350625,M2,test
4,0.4,0.5,1640,0.428049,0.44958,M2,test
5,0.5,0.6,1630,0.555828,0.549472,M2,test
6,0.6,0.7,1427,0.655922,0.647256,M2,test
7,0.7,0.8,1184,0.748311,0.747142,M2,test
8,0.8,0.9,986,0.837728,0.846515,M2,test
9,0.9,1.0,1108,0.953069,0.955797,M2,test
0,0.0,0.1,3379,0.060669,0.044796,M3,train
1,0.1,0.2,2943,0.14509,0.151149,M3,train
2,0.2,0.3,3552,0.243525,0.251288,M3,train
3,0.3,0.4,4224,0.339252,0.351018,M3,train
4,0.4,0.5,5162,0.448663,0.453797,M3,train
5,0.5,0.6,4587,0.546545,0.550579,M3,train
6,0.6,0.7,4092,0.657869,0.649103,M3,train
7,0.7,0.8,3286,0.760803,0.747676,M3,train
8,0.8,0.9,2833,0.857042,0.849917,M3,train
9,0.9,1.0,3116,0.950257,0.954314,M3,train
0,0.0,0.1,958,0.087683,0.046247,M3,validation
1,0.1,0.2,860,0.169767,0.15033,M3,validation
2,0.2,0.3,1081,0.234043,0.252022,M3,validation
3,0.3,0.4,1308,0.327982,0.351937,M3,validation
4,0.4,0.5,1886,0.439024,0.458646,M3,validation
5,0.5,0.6,1552,0.573454,0.550715,M3,validation
6,0.6,0.7,1465,0.670307,0.649535,M3,validation
7,0.7,0.8,1136,0.757042,0.74724,M3,validation
8,0.8,0.9,965,0.865285,0.84884,M3,validation
9,0.9,1.0,979,0.95097,0.954933,M3,validation
0,0.0,0.1,1096,0.055657,0.047882,M3,test
1,0.1,0.2,1008,0.155754,0.150943,M3,test
2,0.2,0.3,1167,0.233933,0.251939,M3,test
3,0.3,0.4,1431,0.325646,0.350777,M3,test
4,0.4,0.5,1645,0.428571,0.450417,M3,test
5,0.5,0.6,1631,0.550582,0.550568,M3,test
6,0.6,0.7,1430,0.655245,0.647483,M3,test
7,0.7,0.8,1231,0.75792,0.74737,M3,test
8,0.8,0.9,970,0.831959,0.846848,M3,test
9,0.9,1.0,1096,0.952555,0.954931,M3,test
0,0.0,0.1,3352,0.059368,0.044981,M4,train
1,0.1,0.2,2957,0.14677,0.151419,M4,train
2,0.2,0.3,3574,0.243984,0.251682,M4,train
3,0.3,0.4,4276,0.33957,0.35145,M4,train
4,0.4,0.5,5083,0.450718,0.452654,M4,train
5,0.5,0.6,4623,0.545101,0.549836,M4,train
6,0.6,0.7,4049,0.655964,0.648727,M4,train
7,0.7,0.8,3269,0.761395,0.747467,M4,train
8,0.8,0.9,2837,0.853719,0.84976,M4,train
9,0.9,1.0,3154,0.950856,0.954421,M4,train
0,0.0,0.1,953,0.09234,0.046394,M4,validation
1,0.1,0.2,864,0.167824,0.150719,M4,validation
2,0.2,0.3,1073,0.229264,0.252385,M4,validation
3,0.3,0.4,1335,0.328839,0.351657,M4,validation
4,0.4,0.5,1842,0.442997,0.456018,M4,validation
5,0.5,0.6,1585,0.567823,0.548752,M4,validation
6,0.6,0.7,1460,0.675342,0.649735,M4,validation
7,0.7,0.8,1123,0.747996,0.747512,M4,validation
8,0.8,0.9,969,0.867905,0.849052,M4,validation
9,0.9,1.0,986,0.950304,0.955249,M4,validation
0,0.0,0.1,1096,0.056569,0.048286,M4,test
1,0.1,0.2,1013,0.15696,0.151593,M4,test
2,0.2,0.3,1164,0.232818,0.252115,M4,test
3,0.3,0.4,1438,0.327538,0.35029,M4,test
4,0.4,0.5,1646,0.432564,0.449581,M4,test
5,0.5,0.6,1634,0.550184,0.549823,M4,test
6,0.6,0.7,1425,0.651228,0.647324,M4,test
7,0.7,0.8,1203,0.751455,0.74707,M4,test
8,0.8,0.9,993,0.838872,0.846901,M4,test
9,0.9,1.0,1093,0.953339,0.955555,M4,test
0,0.0,0.1,2365,0.032558,0.058387,M5,train
1,0.1,0.2,4032,0.121032,0.149237,M5,train
2,0.2,0.3,3229,0.23258,0.245815,M5,train
3,0.3,0.4,4751,0.334877,0.349222,M5,train
4,0.4,0.5,4488,0.446301,0.449759,M5,train
5,0.5,0.6,5276,0.550227,0.543534,M5,train
6,0.6,0.7,3426,0.661996,0.649211,M5,train
7,0.7,0.8,3736,0.764989,0.749663,M5,train
8,0.8,0.9,3247,0.880505,0.852107,M5,train
9,0.9,1.0,2624,0.966463,0.938783,M5,train
0,0.0,0.1,626,0.06869,0.058343,M5,validation
1,0.1,0.2,1165,0.153648,0.149767,M5,validation
2,0.2,0.3,968,0.241736,0.247689,M5,validation
