bin,lo,hi,n,acc,conf,model,split
8,0.8,0.9,3343,0.868382,0.848443,M5,train
9,0.9,1.0,2837,0.966514,0.941989,M5,train
0,0.0,0.1,650,0.069231,0.056346,M5,validation
1,0.1,0.2,1194,0.157454,0.149738,M5,validation
2,0.2,0.3,936,0.24359,0.249936,M5,validation
3,0.3,0.4,1533,0.322896,0.351842,M5,validation
4,0.4,0.5,1292,0.426471,0.452449,M5,validation
5,0.5,0.6,2043,0.546256,0.547061,M5,validation
6,0.6,0.7,1175,0.671489,0.651102,M5,validation
7,0.7,0.8,1280,0.742188,0.752613,M5,validation
8,0.8,0.9,1155,0.855411,0.845946,M5,validation
9,0.9,1.0,932,0.95279,0.944206,M5,validation
0,0.0,0.1,754,0.041114,0.058091,M5,test
1,0.1,0.2,1402,0.143367,0.149694,M5,test
2,0.2,0.3,1058,0.23913,0.249246,M5,test
3,0.3,0.4,1599,0.32833,0.350148,M5,test
4,0.4,0.5,1439,0.430855,0.450267,M5,test
5,0.5,0.6,1856,0.554418,0.54341,M5,test
6,0.6,0.7,1073,0.644921,0.648666,M5,test
7,0.7,0.8,1250,0.7264,0.752847,M5,test
8,0.8,0.9,1222,0.828151,0.845078,M5,test
9,0.9,1.0,1052,0.960076,0.945067,M5,test
