opportunity_id,market_id,is_c0,is_ct,mode,gateway,decision_at,request_created_at,latency_delta_sec,decision_ask,hypothetical_shares,hypothetical_net_pnl,target,filled_shares,purchase_cash,vwap,fee_usdc,fill_count,slippage_per_share,slippage_cash,actual_net_pnl,is_ambiguous
3550881_2026-08-13T19:25:04.203146+00:00,3550881,False,False,PAPER,FAKE,2026-08-13T19:25:04.203146+00:00,2026-08-13T19:27:02.707206+00:00,118.504,0.63,1.5873,0.5853,1,1.3513513513513513,1.0,0.74,0.0,1,0.10999999999999999,0.14864864864864863,0.3513513513513513,False
3552805_2026-08-13T21:40:02.877613+00:00,3552805,False,False,PAPER,FAKE,2026-08-13T21:40:02.877613+00:00,2026-08-13T21:40:32.697282+00:00,29.82,0.94,1.0638,0.0618,1,1.2820512820512822,1.0000000000000002,0.78,0.0,1,-0.15999999999999992,-0.20512820512820504,0.28205128205128194,False
3555434_2026-08-14T00:40:44.782310+00:00,3555434,False,False,PAPER,FAKE,2026-08-14T00:40:44.782310+00:00,2026-08-14T00:41:45.983753+00:00,61.201,0.56,1.7857,0.7837,1,1.2658227848101267,1.0,0.79,0.0,1,0.22999999999999998,0.2911392405063291,0.26582278481012667,False
3558721_2026-08-14T05:55:00.250488+00:00,3558721,False,False,PAPER,FAKE,2026-08-14T05:55:00.250488+00:00,2026-08-14T05:54:59.581831+00:00,-0.669,0.79,1.2658,0.2638,1,1.2658227848101267,1.0,0.79,0.0,1,0.0,0.0,0.26582278481012667,False
3561265_2026-08-14T08:10:44.297681+00:00,3561265,False,False,PAPER,FAKE,2026-08-14T08:10:44.297681+00:00,2026-08-14T08:11:14.540769+00:00,30.243,0.73,1.3699,-1.002,0,1.3157894736842106,1.0,0.76,0.0,1,0.030000000000000027,0.039473684210526355,-1.0,False
3573925_2026-08-14T22:55:44.001428+00:00,3573925,True,True,PAPER,FAKE,2026-08-14T22:55:44.001428+00:00,2026-08-14T22:57:28.637925+00:00,104.636,0.2,5.0,3.998,1,1.6666666666666667,1.0,0.6,0.0,1,0.39999999999999997,0.6666666666666666,0.6666666666666667,False
3574123_2026-08-14T23:10:43.435809+00:00,3574123,False,False,PAPER,FAKE,2026-08-14T23:10:43.435809+00:00,2026-08-14T23:10:58.664753+00:00,15.229,0.71,1.4085,0.4065,1,1.2658227848101267,1.0,0.79,0.0,1,0.08000000000000007,0.10126582278481022,0.26582278481012667,False
3575593_2026-08-15T02:10:00.306832+00:00,3575593,False,False,PAPER,FAKE,2026-08-15T02:10:00.306832+00:00,2026-08-15T02:10:15.990532+00:00,15.684,0.63,1.5873,0.5853,1,1.25,1.0,0.8,0.0,1,0.17000000000000004,0.21250000000000005,0.25,False
3576200_2026-08-15T02:55:43.555263+00:00,3576200,False,False,PAPER,FAKE,2026-08-15T02:55:43.555263+00:00,2026-08-15T02:55:43.982262+00:00,0.427,0.76,1.3158,0.3138,1,1.3157894736842106,1.0,0.76,0.0,1,0.0,0.0,0.3157894736842106,False
3579687_2026-08-15T09:10:00.751151+00:00,3579687,False,False,PAPER,FAKE,2026-08-15T09:10:00.751151+00:00,2026-08-15T09:10:00.819325+00:00,0.068,0.76,1.3158,0.3138,1,1.3157894736842106,1.0,0.76,0.0,1,0.0,0.0,0.3157894736842106,False
3652966_2026-08-18T02:10:35.189623+00:00,3652966,False,False,PAPER,FAKE,2026-08-18T02:10:35.189623+00:00,2026-08-18T02:12:04.037809+00:00,88.848,0.95,1.0526,0.0506,1,1.2820512820512822,1.0000000000000002,0.78,0.0,1,-0.16999999999999993,-0.21794871794871787,0.28205128205128194,False
3656097_2026-08-18T05:10:33.207657+00:00,3656097,False,False,PAPER,FAKE,2026-08-18T05:10:33.207657+00:00,2026-08-18T05:11:34.065560+00:00,60.858,0.95,1.0526,0.0506,1,1.25,1.0,0.8,0.0,1,-0.1499999999999999,-0.1874999999999999,0.25,False
3660657_2026-08-18T09:55:38.033466+00:00,3660657,False,False,PAPER,FAKE,2026-08-18T09:55:38.033466+00:00,2026-08-18T09:55:35.069795+00:00,-2.964,0.8,1.25,0.248,1,1.25,1.0,0.8,0.0,1,0.0,0.0,0.25,False
3691972_2026-08-19T07:10:34.082363+00:00,3691972,True,False,PAPER,FAKE,2026-08-19T07:10:34.082363+00:00,2026-08-19T07:11:49.967128+00:00,75.885,0.07,14.2857,13.2837,1,1.3157894736842106,1.0,0.76,0.0,1,0.69,0.9078947368421053,0.3157894736842106,False
3692009_2026-08-19T07:25:32.229872+00:00,3692009,False,False,PAPER,FAKE,2026-08-19T07:25:32.229872+00:00,2026-08-19T07:26:47.396094+00:00,75.166,0.69,1.4493,0.4473,1,1.2820512820512822,1.0000000000000002,0.78,0.0,1,0.09000000000000008,0.1153846153846155,0.28205128205128194,False
3724242_2026-08-20T16:25:05.800288+00:00,3724242,False,False,PAPER,FAKE,2026-08-20T16:25:05.800288+00:00,2026-08-20T16:26:51.038508+00:00,105.238,0.42,2.381,1.379,1,1.2820512820512822,1.0000000000000002,0.78,0.0,1,0.36000000000000004,0.4615384615384616,0.28205128205128194,False
3889147_2026-08-26T23:25:11.797279+00:00,3889147,False,False,PAPER,FAKE,2026-08-26T23:25:11.797279+00:00,2026-08-26T23:25:56.800897+00:00,45.004,0.64,1.5625,0.5605,1,1.2820512820512822,0.9534615384615386,0.7437,0.00190692,1,0.10370000000000001,0.132948717948718,0.3266828235897436,False
3901135_2026-08-27T11:55:07.825435+00:00,3901135,False,False,PAPER,FAKE,2026-08-27T11:55:07.825435+00:00,2026-08-27T11:55:07.837069+00:00,0.012,0.78,1.2821,0.2801,1,1.2820512820512822,0.9534615384615386,0.7437,0.00190692,1,-0.0363,-0.04653846153846154,0.3266828235897436,False
3929088_2026-08-28T09:40:07.493750+00:00,3929088,False,False,PAPER,FAKE,2026-08-28T09:40:07.493750+00:00,2026-08-28T09:40:22.629430+00:00,15.136,0.72,1.3889,-1.002,0,1.2731266641356909,0.9980039920159681,0.7839,0.00199601,1,0.06390000000000007,0.08135279383827074,-1.000000002015968,False
3952078_2026-08-29T13:10:07.495192+00:00,3952078,False,False,PAPER,FAKE,2026-08-29T13:10:07.495192+00:00,2026-08-29T13:11:07.582100+00:00,60.087,0.7,1.4286,0.4266,1,1.2896607766569337,0.9980039920159681,0.77385,0.00199601,1,0.07385000000000008,0.09524144835611466,0.28966077464096557,False
3993345_2026-08-31T05:10:39.971461+00:00,3993345,False,False,PAPER,FAKE,2026-08-31T05:10:39.971461+00:00,2026-08-31T05:11:25.011397+00:00,45.04,0.57,1.7544,0.7524,1,1.2987012987012987,0.9788961038961039,0.75375,0.00195779,1,0.18375000000000008,0.23863636363636373,0.31784740480519474,False
4167009_2026-09-03T19:40:15.514781+00:00,4167009,False,False,PAPER,FAKE,2026-09-03T19:40:15.514781+00:00,2026-09-03T19:41:46.191636+00:00,90.677,0.95,1.0526,-1.002,0,1.2820512820512822,0.6828846153846154,0.53265,0.00064,1,-0.41735,-0.5350641025641026,-0.6835246153846154,False
