asset,entry_min_before_close,status,n
BTC,5,delay_too_large,2599
BTC,5,no_quote,262
BTC,5,no_strike,9
BTC,5,ok,3986
BTC,5,rules_fail,73
BTC,5,snapshot_missing,175
BTC,8,delay_too_large,2539
BTC,8,no_quote,275
BTC,8,no_strike,9
BTC,8,ok,4056
BTC,8,rules_fail,73
BTC,8,snapshot_missing,152
BTC,12,delay_too_large,2317
BTC,12,no_quote,289
BTC,12,no_strike,9
BTC,12,ok,4277
BTC,12,rules_fail,73
BTC,12,snapshot_missing,139
DOGE,5,delay_too_large,2593
DOGE,5,no_quote,174
DOGE,5,no_strike,9
DOGE,5,ok,3900
DOGE,5,rules_fail,73
DOGE,5,snapshot_missing,265
DOGE,8,delay_too_large,2563
DOGE,8,no_quote,181
DOGE,8,no_strike,9
DOGE,8,ok,4035
DOGE,8,rules_fail,73
DOGE,8,snapshot_missing,153
DOGE,12,delay_too_large,2310
DOGE,12,no_quote,204
DOGE,12,no_strike,9
DOGE,12,ok,4282
DOGE,12,rules_fail,73
DOGE,12,snapshot_missing,136
ETH,5,delay_too_large,2599
ETH,5,no_quote,261
ETH,5,no_strike,9
ETH,5,ok,3949
ETH,5,rules_fail,73
ETH,5,snapshot_missing,211
ETH,8,delay_too_large,2564
ETH,8,no_quote,271
ETH,8,no_strike,9
ETH,8,ok,4035
ETH,8,rules_fail,73
ETH,8,snapshot_missing,150
ETH,12,delay_too_large,2299
ETH,12,no_quote,288
ETH,12,no_strike,9
ETH,12,ok,4296
ETH,12,rules_fail,73
ETH,12,snapshot_missing,137
SOL,5,delay_too_large,2542
SOL,5,no_quote,177
SOL,5,no_strike,9
SOL,5,ok,4001
SOL,5,rules_fail,73
SOL,5,snapshot_missing,212
SOL,8,delay_too_large,2532
SOL,8,no_quote,186
SOL,8,no_strike,9
SOL,8,ok,4062
SOL,8,rules_fail,73
SOL,8,snapshot_missing,152
SOL,12,delay_too_large,2318
SOL,12,no_quote,201
SOL,12,no_strike,9
SOL,12,ok,4275
SOL,12,rules_fail,73
SOL,12,snapshot_missing,138
XRP,5,delay_too_large,2585
XRP,5,no_quote,174
XRP,5,no_strike,9
XRP,5,ok,3954
XRP,5,rules_fail,72
XRP,5,snapshot_missing,220
XRP,8,delay_too_large,2554
XRP,8,no_quote,180
XRP,8,no_strike,9
XRP,8,ok,4047
XRP,8,rules_fail,72
XRP,8,snapshot_missing,152
XRP,12,delay_too_large,2318
XRP,12,no_quote,199
XRP,12,no_strike,9
XRP,12,ok,4279
XRP,12,rules_fail,72
XRP,12,snapshot_missing,137
