asset,entry_rule,price_bin,n_c0,gross_c0,n_ct,gross_ct,prevented_losses,missed_wins,net_diff
BTC,T-8,"[0.90,0.99]",1,-1.0,1,-1.0,0,0,0.0
DOGE,T-12,"[0.05,0.10)",12,-12.0,0,0,12.0,0,12.0
DOGE,T-12,"[0.10,0.15)",39,25.6953,1,-1.0,30.0,56.6953,-26.6953
DOGE,T-12,"[0.15,0.20)",68,2.2713,1,5.6667,56.0,52.6047,3.3953
DOGE,T-12,"[0.20,0.25)",105,4.5473,2,-2.0,79.0,85.5473,-6.5473
DOGE,T-12,"[0.25,0.30)",119,-1.6357,6,-2.4286,82.0,82.7929,-0.7929
DOGE,T-12,"[0.30,0.35)",105,-33.1741,15,-2.8615,71.0,40.6874,30.3126
DOGE,T-12,"[0.35,0.40)",122,-0.8141,36,-4.3201,53.0,56.5061,-3.5061
DOGE,T-12,"[0.40,0.50)",245,-29.3,123,-8.4044,77.0,56.1045,20.8955
DOGE,T-12,"[0.50,0.60)",121,-3.6193,36,-4.5822,40.0,40.9629,-0.9629
DOGE,T-12,"[0.60,0.70)",1,-1.0,1,-1.0,0,0,0.0
DOGE,T-12,"[0.90,0.99]",15,-4.8062,0,0,5.0,0.1938,4.8062
DOGE,T-5,"[0.01,0.05)",117,-42.0,10,40.0,106.0,24.0,82.0
DOGE,T-5,"[0.05,0.10)",136,-42.4286,13,19.5,119.0,57.0714,61.9286
DOGE,T-5,"[0.10,0.15)",90,-36.0606,15,-6.6667,70.0,40.6061,29.3939
DOGE,T-5,"[0.15,0.20)",63,-17.3903,22,-10.1944,35.0,27.8042,7.1958
DOGE,T-5,"[0.20,0.25)",50,-13.6989,23,-0.5922,24.0,10.8933,13.1067
DOGE,T-5,"[0.25,0.30)",49,-23.1246,19,-15.0,24.0,15.8754,8.1246
DOGE,T-5,"[0.30,0.35)",36,-4.5049,20,-0.8272,12.0,8.3223,3.6777
DOGE,T-5,"[0.35,0.40)",52,4.7843,31,4.1194,13.0,13.6649,-0.6649
DOGE,T-5,"[0.40,0.50)",80,4.537,32,4.2791,27.0,27.2579,-0.2579
DOGE,T-5,"[0.50,0.60)",25,-1.8668,12,-6.1916,4.0,8.3249,-4.3249
DOGE,T-5,"[0.60,0.70)",1,-1.0,1,-1.0,0,0,0.0
DOGE,T-5,"[0.90,0.99]",3,-1.9899,0,0,2.0,0.0101,1.9899
DOGE,T-8,"[0.01,0.05)",26,74.0,1,-1.0,22.0,97.0,-75.0
DOGE,T-8,"[0.05,0.10)",82,-82.0,3,-3.0,79.0,0,79.0
DOGE,T-8,"[0.10,0.15)",85,-1.8798,5,5.0,71.0,64.1202,6.8798
DOGE,T-8,"[0.15,0.20)",75,-35.0211,12,5.3955,59.0,18.5834,40.4166
DOGE,T-8,"[0.20,0.25)",80,-2.284,20,12.508,50.0,35.208,14.792
DOGE,T-8,"[0.25,0.30)",72,-20.516,28,-17.0019,33.0,29.4858,3.5142
DOGE,T-8,"[0.30,0.35)",61,-2.0902,25,-0.7348,25.0,23.6446,1.3554
