opportunity_id,market_id,ct_state
f304d33f55e97ed6c1c7,3296862,REVERSION
9bcbf4cb1705553e0edf,3296867,UNCERTAIN
64f5ba59e23c1626ee42,3296974,UNCERTAIN
625cb8e9f29e0d5016c4,3296976,UNCERTAIN
0847cb739331f004ff2e,3296982,UNCERTAIN
86e5b23ed03d3f1dbe22,3296985,TREND
fa40865744ade62b71bd,3296986,UNCERTAIN
39e0aa619757180f17df,3297239,UNCERTAIN
bb348c1af763de50e0f7,3297243,UNCERTAIN
ff9967f818e678a84014,3297247,UNCERTAIN
8ef03d2b6eeb9c620c75,3297278,UNCERTAIN
042d27fe96c66bc86df0,3297280,TREND
9c9b097fd6be773a6408,3297282,TREND
8aaef7e38344b37ea86e,3297285,REVERSION
5c918dc8141cd4e5cbd9,3297285,REVERSION
73afe9ab32456a7c2169,3297285,REVERSION
f75dc3ba88e30403a45c,3297290,UNCERTAIN
883ac99b758b90f3f5bc,3297290,REVERSION
cc2269e2690560a5926d,3297290,REVERSION
fc552b1638264b346f54,3297365,TREND
b4e8ce6ce11a83c61fce,3297468,TREND
c52dddd5e9c49544b041,3297470,TREND
3bdd436904f9ee3c03aa,3297473,TREND
e15c867e0866e50b51c8,3297478,TREND
3a5ecb3c9cf33cdb1079,3297480,TREND
e768180fe5a062f18c66,3297687,REVERSION
af7cfd36d45fb951e6b6,3297690,TREND
95871dc2ec61588006ef,3297691,REVERSION
25449d106b6864b786d2,3297692,UNCERTAIN
4dcc10a2a0685c8bf573,3297696,REVERSION
99df7153cdf94c0f65e0,3298245,UNCERTAIN
fd16afdadf4ec0d33aaa,3298248,UNCERTAIN
a4c8d1557ea9f15c4f5a,3298250,TREND
6bd1717580a021007a8f,3298252,UNCERTAIN
19e9bb428b4ba1c874eb,3298254,REVERSION
4b3358cbc667517d449e,3299107,REVERSION
d234a5d42b6c72ee229f,3299108,TREND
9b4d91c020d68ac8c893,3299112,TREND
4c632f571af3e5722f0b,3299114,TREND
52fd7c55a221b2cf1ff2,3299118,TREND
9eae450b9cdf15b149c1,3299398,REVERSION
4c95a5f1081e98c250b1,3299402,TREND
a446824c5081d9bcbab0,3299403,REVERSION
014e2e0dac56c0ef2c4f,3299406,UNCERTAIN
8f4934b0fbceb8b0653f,3299410,UNCERTAIN
df49217864012a291803,3299650,TREND
2764d122edc9d363c982,3299651,UNCERTAIN
3db76b12a97b3a29511e,3299654,TREND
4552ac472f39b3fc4e1b,3299659,TREND
62e9f6edf8775ee06d58,3299661,TREND
35c7a0b71e035ce664d0,3300824,UNCERTAIN
31c271c2a7661faa619c,3300824,UNCERTAIN
c3311d15e8743b6882ef,3300825,REVERSION
30a41fc74a46691a734e,3300825,REVERSION
d36277b8b9408160b398,3300826,UNCERTAIN
be132d0d46644edbd918,3300826,REVERSION
987f53ce4d313c7e49ce,3300829,UNCERTAIN
0d49f9055e2f20fcfacc,3300829,REVERSION
59f55822a37056bb509a,3300835,REVERSION
a4473b8f57869f34e0fa,3300835,REVERSION
05b7fa7a36c4892fbdee,3301042,TREND
129423d596fd12f421b3,3301044,UNCERTAIN
69e168499b3c00221f70,3301046,UNCERTAIN
22daea5b5bcb1272d0c5,3301047,TREND
937a1513c48c5dfd84ca,3301049,TREND
5de73d53fd3ef44ce895,3301092,REVERSION
785e9462581eecbfecee,3301093,UNCERTAIN
32627bb07079773696bc,3301094,UNCERTAIN
eeb55b2fb0d1ca0fb374,3301102,REVERSION
f03e7b214bcd8d6efd22,3301104,REVERSION
27dc0828917c90246f1f,3301183,UNCERTAIN
89525a1b82e175b66f40,3301183,UNCERTAIN
d690fbf2ec3a2298624b,3301187,TREND
0a8b6b90a895e918f8b4,3301187,TREND
a3360bd8355ae92c4187,3301189,TREND
3cfdabc03d621f3fddd3,3301189,TREND
73b048549e3b35774a02,3301190,UNCERTAIN
2d0bba53b2ad34ee2437,3301190,REVERSION
b07e0d6d212777508e9c,3301192,UNCERTAIN
fb7e4eae48d7bdaf77c4,3301192,UNCERTAIN
d1f7a71c5d0405f2430a,3301266,QUIET
c59308e7065152433921,3301268,TREND
5cf43e4e6320bb707c53,3301271,TREND
a039a33d92f7befdea2a,3301274,UNCERTAIN
81b20f9a2debb1007809,3301278,TREND
5dd4f840ef3f0e2dec87,3301300,TREND
2f00895980558b5b7ac9,3301301,REVERSION
bc735e99e3a3f0d434b9,3301303,UNCERTAIN
0e9178e983e6e8fc86cd,3301306,UNCERTAIN
c919541845a6d2e44b2d,3301307,REVERSION
5600139c6b8a44cb6f66,3301545,TREND
e1f80317a65be2a74938,3301546,UNCERTAIN
0af87adc51fddbec9ffd,3301549,TREND
d5921a9d52951657acc4,3301550,REVERSION
c16040c50ae2439bcc9f,3301551,UNCERTAIN
11b318df33722a648dff,3301742,TREND
75e914e9801cc4b91489,3301742,UNCERTAIN
7d7118635bb88cb0385f,3301750,TREND
4e5da62cd303a55191e0,3301750,TREND
8be8dd3707130a4a6e71,3301751,TREND
2bc0bda38ef3366e65ed,3301751,TREND
a33cfaa6840256f0a7c9,3301752,UNCERTAIN
8fe505877d19ad06fe9d,3301752,REVERSION
98184978b8efd1aa3001,3301755,UNCERTAIN
5e86247d6c1d6a90fc3c,3301755,UNCERTAIN
63c3a41378f521ddba86,3301988,REVERSION
ed171dfac4f7479f72cb,3301992,REVERSION
2f6fb0104e311480596f,3301994,UNCERTAIN
79d2371b1b1b787c4221,3301996,REVERSION
3bea8a8804c8ce646c8d,3301999,REVERSION
47b202a4bf8ff74f49f7,3302027,REVERSION
ebf829e5158742b96d18,3302028,UNCERTAIN
8a9aa5bf4d6b15ce4076,3302033,REVERSION
33144647e02870f0c50b,3302036,REVERSION
ec585a00b5b1f0057b88,3302039,UNCERTAIN
77b5a9d62c108ae84268,3302108,TREND
ff9c73c0f45fda3966d8,3302108,REVERSION
98679c6e9383515eb683,3302109,REVERSION
f95a01d3a30288d9284e,3302109,UNCERTAIN
746edd20908556886dbd,3302116,TREND
b57534e9668c6f051a2b,3302118,UNCERTAIN
1b6ee0565e7d0ef8d018,3302120,UNCERTAIN
ad33c5641faaf3e43499,3302143,REVERSION
199e093c4d6e4db673f0,3302283,UNCERTAIN
e4fc2d7c300f03cb15e2,3302300,REVERSION
cbc05156d9ead9c71298,3302301,REVERSION
67dd84b0b75e2855e46b,3302303,UNCERTAIN
8680bbead215e9cbd59a,3302307,UNCERTAIN
e5ecd5079a7df919e50c,3302313,UNCERTAIN
a72ef57792a7602d8570,3302469,TREND
cf7cc871e7b9122db4a4,3302471,TREND
88c734e2fe10d930713f,3302476,TREND
17f4ed45b3445c6a499e,3302478,TREND
5443ff7e8a07b05c338f,3302480,TREND
