opportunity_id,market_id,is_c0,is_ct,decision_at,reason,detail
3886801_2026-08-26T20:25:11.901342+00:00,3886801,True,False,2026-08-26T20:25:11.901342+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3886991_2026-08-26T20:40:11.717520+00:00,3886991,True,False,2026-08-26T20:40:11.717520+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3887123_2026-08-26T20:55:11.937270+00:00,3887123,False,False,2026-08-26T20:55:11.937270+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3887636_2026-08-26T21:25:11.868024+00:00,3887636,False,False,2026-08-26T21:25:11.868024+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3887777_2026-08-26T21:40:11.818632+00:00,3887777,False,False,2026-08-26T21:40:11.818632+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-554.8s, max_dt=-554.8s)"
3887959_2026-08-26T21:55:11.900007+00:00,3887959,False,False,2026-08-26T21:55:11.900007+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3888145_2026-08-26T22:10:11.821109+00:00,3888145,False,False,2026-08-26T22:10:11.821109+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3888357_2026-08-26T22:25:11.673215+00:00,3888357,False,False,2026-08-26T22:25:11.673215+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3888527_2026-08-26T22:40:12.026790+00:00,3888527,True,False,2026-08-26T22:40:12.026790+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-225.0s, max_dt=-225.0s)"
3888751_2026-08-26T22:55:11.766337+00:00,3888751,True,True,2026-08-26T22:55:11.766337+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3889047_2026-08-26T23:10:11.726288+00:00,3889047,True,False,2026-08-26T23:10:11.726288+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3889577_2026-08-26T23:40:12.003344+00:00,3889577,False,False,2026-08-26T23:40:12.003344+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3890100_2026-08-26T23:55:11.846946+00:00,3890100,False,False,2026-08-26T23:55:11.846946+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3890304_2026-08-27T00:10:13.445602+00:00,3890304,True,True,2026-08-27T00:10:13.445602+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3890864_2026-08-27T00:25:12.077836+00:00,3890864,False,False,2026-08-27T00:25:12.077836+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3890967_2026-08-27T00:40:11.712180+00:00,3890967,True,True,2026-08-27T00:40:11.712180+00:00,TIMING_MISMATCH_TOO_LATE,"All YES requests were created outside causal window (min_dt=210.1s, max_dt=210.1s)"
3894224_2026-08-27T00:55:11.649437+00:00,3894224,True,False,2026-08-27T00:55:11.649437+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-554.4s, max_dt=-554.4s)"
3894510_2026-08-27T01:10:11.947469+00:00,3894510,False,False,2026-08-27T01:10:11.947469+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3894545_2026-08-27T01:25:11.687358+00:00,3894545,False,False,2026-08-27T01:25:11.687358+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3894877_2026-08-27T01:40:11.756157+00:00,3894877,True,False,2026-08-27T01:40:11.756157+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-509.8s, max_dt=-509.8s)"
3894968_2026-08-27T01:55:11.979455+00:00,3894968,False,False,2026-08-27T01:55:11.979455+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3895061_2026-08-27T02:10:11.833433+00:00,3895061,False,False,2026-08-27T02:10:11.833433+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3895115_2026-08-27T02:25:11.906598+00:00,3895115,True,True,2026-08-27T02:25:11.906598+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3895208_2026-08-27T02:40:11.656966+00:00,3895208,False,False,2026-08-27T02:40:11.656966+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3895360_2026-08-27T02:55:11.971880+00:00,3895360,False,False,2026-08-27T02:55:11.971880+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3895463_2026-08-27T03:10:11.717260+00:00,3895463,False,False,2026-08-27T03:10:11.717260+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3895572_2026-08-27T03:25:11.804462+00:00,3895572,False,False,2026-08-27T03:25:11.804462+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3895818_2026-08-27T03:40:04.105988+00:00,3895818,True,False,2026-08-27T03:40:04.105988+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3895946_2026-08-27T03:55:04.088988+00:00,3895946,True,False,2026-08-27T03:55:04.088988+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-315.1s, max_dt=-315.1s)"
3896378_2026-08-27T04:10:03.966862+00:00,3896378,False,False,2026-08-27T04:10:03.966862+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3896446_2026-08-27T04:25:03.925637+00:00,3896446,True,True,2026-08-27T04:25:03.925637+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-119.8s, max_dt=-119.8s)"
3896982_2026-08-27T04:40:04.145452+00:00,3896982,True,True,2026-08-27T04:40:04.145452+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-599.5s, max_dt=-599.5s)"
3897388_2026-08-27T04:55:04.057143+00:00,3897388,True,False,2026-08-27T04:55:04.057143+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3897907_2026-08-27T05:10:03.948620+00:00,3897907,True,False,2026-08-27T05:10:03.948620+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3897952_2026-08-27T05:25:04.093165+00:00,3897952,False,False,2026-08-27T05:25:04.093165+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3898030_2026-08-27T05:40:03.801388+00:00,3898030,False,False,2026-08-27T05:40:03.801388+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3898355_2026-08-27T05:55:04.031007+00:00,3898355,False,False,2026-08-27T05:55:04.031007+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3898387_2026-08-27T06:10:05.225855+00:00,3898387,True,False,2026-08-27T06:10:05.225855+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-521.5s, max_dt=-521.5s)"
3898479_2026-08-27T06:25:06.549804+00:00,3898479,False,False,2026-08-27T06:25:06.549804+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3898534_2026-08-27T06:40:04.124328+00:00,3898534,False,False,2026-08-27T06:40:04.124328+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3898952_2026-08-27T06:55:03.765117+00:00,3898952,False,False,2026-08-27T06:55:03.765117+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
