opportunity_id,market_id,asset,calendar_date,decision_at,time_left_min,executable_ask,diagnostic_mid,diagnostic_half_spread,diagnostic_spread_cost,shares,target,gross_pnl,net_pnl,reproduced_net_pnl,historical_fee,historical_net_pnl,scenario_id,scenario_fee,scenario_net_pnl,sign_changed
3121806_2026-07-27T23:10:40.619215+00:00,3121806,BTC,2026-07-27,2026-07-27T23:10:40.619215+00:00,4.32,0.14,0.135,0.0050000000000000044,0.03571450000000003,7.1429,1,6.1429,6.1409,6.140893988,,,0.1% Demonstration Scenario,0.001,6.141894,False
3122405_2026-07-28T00:55:41.090204+00:00,3122405,BTC,2026-07-28,2026-07-28T00:55:41.090204+00:00,4.32,0.17,0.165,0.0050000000000000044,0.029412000000000025,5.8824,0,-1.0,-1.002,-1.002008016,,,0.1% Demonstration Scenario,0.001,-1.001008,False
3125273_2026-07-28T08:40:27.795798+00:00,3125273,BTC,2026-07-28,2026-07-28T08:40:27.795798+00:00,4.54,0.32,0.29000000000000004,0.02999999999999997,0.09374999999999992,3.125,1,2.125,2.123,2.123,,,0.1% Demonstration Scenario,0.001,2.124,False
3129246_2026-07-28T19:25:44.627858+00:00,3129246,BTC,2026-07-28,2026-07-28T19:25:44.627858+00:00,4.26,0.31,0.305,0.0050000000000000044,0.016129000000000015,3.2258,0,-1.0,-1.002,-1.0019979959999998,,,0.1% Demonstration Scenario,0.001,-1.0009979999999998,False
3132446_2026-07-28T21:25:42.567952+00:00,3132446,BTC,2026-07-28,2026-07-28T21:25:42.567952+00:00,4.29,0.38,0.375,0.0050000000000000044,0.013158000000000012,2.6316,0,-1.0,-1.002,-1.002008016,,,0.1% Demonstration Scenario,0.001,-1.001008,False
3133991_2026-07-28T21:55:44.135020+00:00,3133991,BTC,2026-07-28,2026-07-28T21:55:44.135020+00:00,4.26,0.29,0.28500000000000003,0.004999999999999949,0.017241499999999823,3.4483,0,-1.0,-1.002,-1.002007014,,,0.1% Demonstration Scenario,0.001,-1.0010069999999998,False
3135888_2026-07-28T22:40:42.538121+00:00,3135888,BTC,2026-07-28,2026-07-28T22:40:42.538121+00:00,4.29,0.18,0.175,0.0050000000000000044,0.027778000000000025,5.5556,0,-1.0,-1.002,-1.002008016,,,0.1% Demonstration Scenario,0.001,-1.001008,False
3141485_2026-07-28T23:25:44.564928+00:00,3141485,BTC,2026-07-28,2026-07-28T23:25:44.564928+00:00,4.26,0.07,0.065,0.0050000000000000044,0.07142850000000006,14.2857,1,13.2857,13.2837,13.283701001999999,,,0.1% Demonstration Scenario,0.001,13.284701,False
3142367_2026-07-29T00:55:43.612483+00:00,3142367,BTC,2026-07-29,2026-07-29T00:55:43.612483+00:00,4.27,0.29,0.28500000000000003,0.004999999999999949,0.017241499999999823,3.4483,0,-1.0,-1.002,-1.002007014,,,0.1% Demonstration Scenario,0.001,-1.0010069999999998,False
3142638_2026-07-29T01:40:44.704850+00:00,3142638,BTC,2026-07-29,2026-07-29T01:40:44.704850+00:00,4.25,0.17,0.165,0.0050000000000000044,0.029412000000000025,5.8824,0,-1.0,-1.002,-1.002008016,,,0.1% Demonstration Scenario,0.001,-1.001008,False
3142781_2026-07-29T01:55:44.601996+00:00,3142781,BTC,2026-07-29,2026-07-29T01:55:44.601996+00:00,4.26,0.1,0.095,0.0050000000000000044,0.050000000000000044,10.0,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
