asset,hour_group_utc,weekday,entry_policy,variant,n,days,win_rate,net_pnl,expectancy
ETH,00-06,6,FUNNEL,YES_OUTSIDER,25,2,0.28,-9.8062,-0.392249
ETH,00-06,6,GRID,YES_FAVORITE,44,2,0.6591,-3.5339,-0.080316
ETH,00-06,6,GRID,YES_OUTSIDER,54,2,0.2222,-19.767,-0.366055
ETH,06-12,0,FUNNEL,NO_FAVORITE,1,1,0.0,-1.0,-1.0
ETH,06-12,0,FUNNEL,NO_OUTSIDER,39,3,0.5897,9.5208,0.244124
ETH,06-12,0,FUNNEL,YES_FAVORITE,1,1,1.0,0.0526,0.052632
ETH,06-12,0,FUNNEL,YES_OUTSIDER,31,3,0.5484,6.0316,0.194569
ETH,06-12,0,GRID,YES_FAVORITE,76,3,0.7632,4.6506,0.061192
ETH,06-12,0,GRID,YES_OUTSIDER,69,3,0.1594,-36.3221,-0.526407
ETH,06-12,1,FUNNEL,NO_FAVORITE,11,4,0.6364,-0.8724,-0.079307
ETH,06-12,1,FUNNEL,NO_OUTSIDER,30,5,0.4333,-2.0456,-0.068187
ETH,06-12,1,FUNNEL,YES_FAVORITE,10,4,0.8,3.6552,0.365519
ETH,06-12,1,FUNNEL,YES_OUTSIDER,35,5,0.5143,4.9383,0.141093
ETH,06-12,1,GRID,YES_FAVORITE,86,5,0.8023,6.3632,0.073991
ETH,06-12,1,GRID,YES_OUTSIDER,79,5,0.2532,-7.6356,-0.096653
ETH,06-12,2,FUNNEL,NO_FAVORITE,16,3,0.5625,-0.8533,-0.053332
ETH,06-12,2,FUNNEL,NO_OUTSIDER,48,5,0.4583,1.0313,0.021485
ETH,06-12,2,FUNNEL,YES_FAVORITE,2,2,1.0,1.8839,0.941931
ETH,06-12,2,FUNNEL,YES_OUTSIDER,36,4,0.4722,1.0878,0.030217
ETH,06-12,2,GRID,YES_FAVORITE,81,5,0.7531,0.2946,0.003637
ETH,06-12,2,GRID,YES_OUTSIDER,80,5,0.3375,6.1314,0.076642
ETH,06-12,3,FUNNEL,NO_FAVORITE,13,4,0.6923,-0.2786,-0.021433
ETH,06-12,3,FUNNEL,NO_OUTSIDER,37,4,0.4595,-0.5562,-0.015031
ETH,06-12,3,FUNNEL,YES_FAVORITE,14,3,0.8571,3.2513,0.232234
ETH,06-12,3,FUNNEL,YES_OUTSIDER,17,4,0.2941,-6.2447,-0.367336
ETH,06-12,3,GRID,YES_FAVORITE,66,4,0.8636,6.6405,0.100613
ETH,06-12,3,GRID,YES_OUTSIDER,82,4,0.1951,-33.1727,-0.404545
ETH,06-12,4,FUNNEL,NO_FAVORITE,3,3,1.0,1.8335,0.611152
ETH,06-12,4,FUNNEL,NO_OUTSIDER,53,4,0.566,15.4225,0.290991
ETH,06-12,4,FUNNEL,YES_FAVORITE,1,1,1.0,0.1628,0.162791
ETH,06-12,4,FUNNEL,YES_OUTSIDER,38,4,0.6053,14.2925,0.376118
ETH,06-12,4,GRID,YES_FAVORITE,122,4,0.7705,-1.0759,-0.008819
ETH,06-12,4,GRID,YES_OUTSIDER,109,4,0.1743,-25.9222,-0.237818
ETH,06-12,5,FUNNEL,NO_FAVORITE,13,4,0.6154,1.2943,0.099564
ETH,06-12,5,FUNNEL,NO_OUTSIDER,48,4,0.4583,-0.5654,-0.01178
ETH,06-12,5,FUNNEL,YES_FAVORITE,6,2,0.1667,-4.0392,-0.673203
ETH,06-12,5,FUNNEL,YES_OUTSIDER,25,4,0.56,7.0673,0.282691
