market_id,asset,decision_at,entry_policy,time_left_target,time_left_actual,entry_variant,side,mid_price,best_bid,best_ask,spread,price_bin,region,final_outcome,target,stake_usdc,shares,gross_pnl,fee_status,fee,net_pnl,scenario_fee,scenario_net_pnl,selection_status,skip_reason,recorded_at,calendar_date,hour_utc,weekday
3293250,DOGE,2026-08-03T19:55:16.541295+00:00,GRID,5,4.724,YES_OUTSIDER,YES,0.034999999999999996,0.01,0.06,0.049999999999999996,"[0.05,0.10)",deep_outsider,NO,0,1.0,16.666667,-1.0,UNKNOWN,0.0,-1.0,0.02,-1.02,OK,,2026-08-03T19:55:16.541295+00:00,2026-08-03,19,0
3293250,DOGE,2026-08-03T19:45:06.936160+00:00,FUNNEL,,,,,,,,,,,NO,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_REAL_QUOTE_IN_FUNNEL_ROW,,,,
3293252,BTC,2026-08-03T19:48:00+00:00,GRID,12,,,,,,,,,,NO,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3293252,BTC,2026-08-03T19:52:15.812335+00:00,GRID,8,7.736,YES_FAVORITE,YES,0.525,0.52,0.53,0.010000000000000009,"[0.50,0.60)",near_parity,NO,0,1.0,1.886792,-1.0,UNKNOWN,0.0,-1.0,0.02,-1.02,OK,,2026-08-03T19:52:15.812335+00:00,2026-08-03,19,0
3293252,BTC,2026-08-03T19:55:15.847451+00:00,GRID,5,4.736,YES_OUTSIDER,YES,0.215,0.21,0.22,0.010000000000000009,"[0.20,0.25)",deep_outsider,NO,0,1.0,4.545455,-1.0,UNKNOWN,0.0,-1.0,0.02,-1.02,OK,,2026-08-03T19:55:15.847451+00:00,2026-08-03,19,0
3293252,BTC,2026-08-03T19:45:04.941382+00:00,FUNNEL,,,,,,,,,,,NO,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_REAL_QUOTE_IN_FUNNEL_ROW,,,,
3293254,XRP,2026-08-03T19:48:00+00:00,GRID,12,,,,,,,,,,NO,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3293254,XRP,2026-08-03T19:52:16.935373+00:00,GRID,8,7.718,YES_OUTSIDER,YES,0.415,0.41,0.42,0.010000000000000009,"[0.40,0.50)",near_parity,NO,0,1.0,2.380952,-1.0,UNKNOWN,0.0,-1.0,0.02,-1.02,OK,,2026-08-03T19:52:16.935373+00:00,2026-08-03,19,0
3293254,XRP,2026-08-03T19:55:17.092632+00:00,GRID,5,4.715,YES_OUTSIDER,YES,0.07,0.05,0.09,0.039999999999999994,"[0.05,0.10)",deep_outsider,NO,0,1.0,11.111111,-1.0,UNKNOWN,0.0,-1.0,0.02,-1.02,OK,,2026-08-03T19:55:17.092632+00:00,2026-08-03,19,0
3293254,XRP,2026-08-03T19:45:07.684255+00:00,FUNNEL,,14.872,NO_OUTSIDER,NO,,,0.5,0.010000000000000009,"[0.50,0.60)",near_parity,,1,1.0,2.0,1.0,UNKNOWN,0.0,1.0,0.02,0.98,OK,,2026-08-03T19:45:07.684255+00:00,2026-08-03,19,0
3293256,SOL,2026-08-03T19:48:00+00:00,GRID,12,,,,,,,,,,NO,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3293256,SOL,2026-08-03T19:52:17.486635+00:00,GRID,8,7.709,YES_OUTSIDER,YES,0.495,0.48,0.51,0.030000000000000027,"[0.50,0.60)",near_parity,NO,0,1.0,1.960784,-1.0,UNKNOWN,0.0,-1.0,0.02,-1.02,OK,,2026-08-03T19:52:17.486635+00:00,2026-08-03,19,0
3293256,SOL,2026-08-03T19:55:17.643866+00:00,GRID,5,4.706,YES_OUTSIDER,YES,0.295,0.29,0.3,0.010000000000000009,"[0.30,0.35)",deep_outsider,NO,0,1.0,3.333333,-1.0,UNKNOWN,0.0,-1.0,0.02,-1.02,OK,,2026-08-03T19:55:17.643866+00:00,2026-08-03,19,0
3293256,SOL,2026-08-03T19:45:08.427731+00:00,FUNNEL,,14.86,NO_OUTSIDER,NO,,,0.41,0.020000000000000018,"[0.40,0.50)",near_parity,,1,1.0,2.439024,1.439024,UNKNOWN,0.0,1.439024,0.02,1.419024,OK,,2026-08-03T19:45:08.427731+00:00,2026-08-03,19,0
3293259,ETH,2026-08-03T19:48:00+00:00,GRID,12,,,,,,,,,,NO,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3293259,ETH,2026-08-03T19:52:18.037931+00:00,GRID,8,7.699,YES_FAVORITE,YES,0.615,0.61,0.62,0.010000000000000009,"[0.60,0.70)",favorite,NO,0,1.0,1.612903,-1.0,UNKNOWN,0.0,-1.0,0.02,-1.02,OK,,2026-08-03T19:52:18.037931+00:00,2026-08-03,19,0
3293259,ETH,2026-08-03T19:55:18.201379+00:00,GRID,5,4.697,YES_OUTSIDER,YES,0.315,0.31,0.32,0.010000000000000009,"[0.30,0.35)",cheap_outsider,NO,0,1.0,3.125,-1.0,UNKNOWN,0.0,-1.0,0.02,-1.02,OK,,2026-08-03T19:55:18.201379+00:00,2026-08-03,19,0
3293259,ETH,2026-08-03T19:45:01.960263+00:00,FUNNEL,,,,,,,,,,,NO,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_REAL_QUOTE_IN_FUNNEL_ROW,,,,
3293494,SOL,2026-08-03T20:03:00+00:00,GRID,12,,,,,,,,,,NO,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3293494,SOL,2026-08-03T20:07:00+00:00,GRID,8,,,,,,,,,,NO,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3293494,SOL,2026-08-03T20:10:00+00:00,GRID,5,,,,,,,,,,NO,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3293494,SOL,2026-08-03T20:03:04.092536+00:00,FUNNEL,,11.932,YES_OUTSIDER,YES,0.28,,0.28,0.010000000000000009,"[0.25,0.30)",deep_outsider,,0,1.0,3.571429,-1.0,UNKNOWN,0.0,-1.0,0.02,-1.02,OK,,2026-08-03T20:03:04.092536+00:00,2026-08-03,20,0
3293496,ETH,2026-08-03T20:03:00+00:00,GRID,12,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3293496,ETH,2026-08-03T20:07:00+00:00,GRID,8,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3293496,ETH,2026-08-03T20:10:00+00:00,GRID,5,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3293496,ETH,2026-08-03T20:00:03.467676+00:00,FUNNEL,,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_REAL_QUOTE_IN_FUNNEL_ROW,,,,
3293505,XRP,2026-08-03T20:03:00+00:00,GRID,12,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3293505,XRP,2026-08-03T20:07:00+00:00,GRID,8,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3293505,XRP,2026-08-03T20:10:00+00:00,GRID,5,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3293505,XRP,2026-08-03T20:00:06.236152+00:00,FUNNEL,,14.896,NO_OUTSIDER,NO,,,0.5,0.010000000000000009,"[0.50,0.60)",near_parity,,0,1.0,2.0,-1.0,UNKNOWN,0.0,-1.0,0.02,-1.02,OK,,2026-08-03T20:00:06.236152+00:00,2026-08-03,20,0
3293506,DOGE,2026-08-03T20:03:00+00:00,GRID,12,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3293506,DOGE,2026-08-03T20:07:00+00:00,GRID,8,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3293506,DOGE,2026-08-03T20:10:00+00:00,GRID,5,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3293506,DOGE,2026-08-03T20:00:04.232627+00:00,FUNNEL,,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_REAL_QUOTE_IN_FUNNEL_ROW,,,,
3293512,BTC,2026-08-03T20:03:00+00:00,GRID,12,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
3293512,BTC,2026-08-03T20:07:00+00:00,GRID,8,,,,,,,,,,YES,,,,,,,,,,MISSING_ENTRY_QUOTE,NO_OBSERVATION_IN_WINDOW,,,,
