n,days,win_rate,gross_pnl,net_pnl,scenario_net_pnl,expectancy,avg_win,avg_loss,payoff,max_drawdown,median,top5_share,week
7350,7,0.4901,-447.0312,-447.0312,-594.0312,-0.060821,0.9164,-1.0,0.9164,448.257,-1.0,-0.425,2026-W32
7758,6,0.4919,-548.4888,-548.4888,-703.6488,-0.0707,0.8893,-1.0,0.8893,589.6483,-1.0,-0.2066,2026-W33
7350,7,0.5082,-60.9037,-60.9037,-207.9037,-0.008286,0.9516,-1.0,0.9516,149.1722,0.0101,-2.4355,2026-W34
10676,7,0.493,-821.4277,-821.4277,-1034.9477,-0.076942,0.8724,-1.0,0.8724,918.2753,-1.0,-0.2678,2026-W35
2619,3,0.4735,-143.9878,-143.9878,-196.3678,-0.054978,0.996,-1.0,0.996,219.8551,-1.0,-0.2004,2026-W36
