asset,entry_policy,price_bin,n_c0,net_c0,n_ct,net_ct,prevented_losses,missed_wins,net_diff
SOL,FUNNEL,"[0.50,0.60)",155,-3.0,36,-8.0,57.0,62.0,-5.0
SOL,GRID,,5,-5.0,0,0,5.0,0,5.0
SOL,GRID,"[0.01,0.05)",193,90.3333,9,116.0,180.0,154.3333,25.6667
SOL,GRID,"[0.05,0.10)",216,-66.7143,14,-14.0,192.0,139.2857,52.7143
SOL,GRID,"[0.10,0.15)",212,-101.7957,20,-3.7662,181.0,82.9706,98.0294
SOL,GRID,"[0.15,0.20)",220,-45.2103,34,-16.9313,159.0,130.721,28.279
SOL,GRID,"[0.20,0.25)",221,-38.0247,35,-17.3758,149.0,128.351,20.649
SOL,GRID,"[0.25,0.30)",247,2.6994,54,-14.0943,136.0,152.7937,-16.7937
SOL,GRID,"[0.30,0.35)",234,-6.4881,59,12.9919,125.0,105.52,19.48
SOL,GRID,"[0.35,0.40)",240,1.1029,83,16.9166,105.0,89.1863,15.8137
SOL,GRID,"[0.40,0.50)",465,-43.8265,224,-10.9588,149.0,116.1323,32.8677
SOL,GRID,"[0.50,0.60)",149,-9.2274,55,2.11,51.0,39.6626,11.3374
SOL,GRID,"[0.60,0.70)",1,-1.0,0,0,1.0,0,1.0
SOL,GRID,"[0.90,0.99]",19,-8.6684,1,0.0204,9.0,0.3112,8.6888
XRP,FUNNEL,"[0.05,0.10)",1,-1.0,0,0,1.0,0,1.0
XRP,FUNNEL,"[0.15,0.20)",1,-1.0,0,0,1.0,0,1.0
XRP,FUNNEL,"[0.20,0.25)",3,1.3478,0,0,2.0,3.3478,-1.3478
XRP,FUNNEL,"[0.25,0.30)",13,-2.4089,1,-1.0,9.0,7.5911,1.4089
XRP,FUNNEL,"[0.30,0.35)",19,12.1102,2,1.2258,8.0,18.8844,-10.8844
XRP,FUNNEL,"[0.35,0.40)",60,-14.8692,12,-1.5375,35.0,21.6683,13.3317
XRP,FUNNEL,"[0.40,0.50)",527,-47.6654,94,-20.0439,248.0,220.3785,27.6215
XRP,FUNNEL,"[0.50,0.60)",103,-5.0,28,-2.0,39.0,36.0,3.0
XRP,GRID,,17,-17.0,0,0,17.0,0,17.0
XRP,GRID,"[0.01,0.05)",202,-93.6667,8,-8.0,191.0,105.3333,85.6667
XRP,GRID,"[0.05,0.10)",210,-98.4921,6,8.2857,197.0,90.2222,106.7778
XRP,GRID,"[0.10,0.15)",209,-98.0826,16,-8.8571,181.0,91.7746,89.2254
XRP,GRID,"[0.15,0.20)",230,-96.4487,33,-27.7368,175.0,106.2882,68.7118
XRP,GRID,"[0.20,0.25)",203,-37.4593,39,-30.2879,130.0,122.8285,7.1715
XRP,GRID,"[0.25,0.30)",210,13.6016,39,-6.391,119.0,138.9926,-19.9926
XRP,GRID,"[0.30,0.35)",234,-59.4046,63,-7.9349,133.0,81.5303,51.4697
XRP,GRID,"[0.35,0.40)",222,2.1728,80,19.8446,96.0,78.3282,17.6718
XRP,GRID,"[0.40,0.50)",489,11.7611,240,22.2621,144.0,133.499,10.501
XRP,GRID,"[0.50,0.60)",131,-22.3995,59,-15.8523,38.0,31.4528,6.5472
XRP,GRID,"[0.60,0.70)",1,0.6393,0,0,0,0.6393,-0.6393
XRP,GRID,"[0.90,0.99]",15,-7.8571,1,-1.0,7.0,0.1429,6.8571
