n,days,win_rate,gross_pnl,net_pnl,scenario_net_pnl,expectancy,avg_win,avg_loss,payoff,max_drawdown,median,top5_share,asset,entry_policy,entry_time,variant,price_bin,status,exp_ci95
278,28,0.5755,16.0163,16.0163,10.4563,0.057612,0.8376,-1.0,0.8376,18.8326,0.7241,0.2999,BTC,GRID,12,YES_FAVORITE,"[0.50,0.60)",OK,"[-0.051463, 0.163095]"
261,28,0.6973,21.082,21.082,15.862,0.080774,0.5499,-1.0,0.5499,5.5856,0.4925,0.1581,BTC,GRID,12,YES_FAVORITE,"[0.60,0.70)",OK,"[-0.000213, 0.162314]"
203,28,0.7291,-2.73,-2.73,-6.79,-0.013448,0.3532,-1.0,0.3532,8.2406,0.3158,-0.7849,BTC,GRID,12,YES_FAVORITE,"[0.70,0.80)",OK,"[-0.091138, 0.054738]"
145,28,0.8483,2.145,2.145,-0.755,0.014793,0.1963,-1.0,0.1963,4.1593,0.1765,0.5827,BTC,GRID,12,YES_FAVORITE,"[0.80,0.90)",OK,"[-0.036651, 0.068776]"
20,15,1.0,1.6688,1.6688,1.2688,0.08344,0.0834,0.0,,0.0,0.087,0.3329,BTC,GRID,12,YES_FAVORITE,"[0.90,0.99]",OK,"[0.072158, 0.093785]"
7,6,0.0,-7.0,-7.0,-7.14,-1.0,0.0,-1.0,0.0,7.0,-1.0,0.7143,BTC,GRID,12,YES_OUTSIDER,"[0.05,0.10)",INSUFFICIENT_SAMPLE,
31,21,0.0968,-2.8182,-2.8182,-3.4382,-0.090909,8.3939,-1.0,8.3939,13.0,-1.0,-8.2258,BTC,GRID,12,YES_OUTSIDER,"[0.10,0.15)",OK,"[-1.0, 0.983471]"
62,25,0.1935,7.9789,7.9789,6.7389,0.128692,4.8316,-1.0,4.8316,10.0,-1.0,3.3022,BTC,GRID,12,YES_OUTSIDER,"[0.15,0.20)",OK,"[-0.29972, 0.541897]"
97,26,0.2062,-6.3648,-6.3648,-8.3048,-0.065616,3.5318,-1.0,3.5318,11.6667,-1.0,-3.0675,BTC,GRID,12,YES_OUTSIDER,"[0.20,0.25)",OK,"[-0.339867, 0.23521]"
115,26,0.2348,-16.1821,-16.1821,-18.4821,-0.140714,2.6599,-1.0,2.6599,32.4319,-1.0,-0.8984,BTC,GRID,12,YES_OUTSIDER,"[0.25,0.30)",OK,"[-0.440856, 0.163836]"
135,28,0.2963,-12.3275,-12.3275,-15.0275,-0.091315,2.0668,-1.0,2.0668,18.9792,-1.0,-0.9115,BTC,GRID,12,YES_OUTSIDER,"[0.30,0.35)",OK,"[-0.328327, 0.180356]"
162,28,0.3642,-2.9795,-2.9795,-6.2195,-0.018392,1.6953,-1.0,1.6953,16.2691,-1.0,-3.1165,BTC,GRID,12,YES_OUTSIDER,"[0.35,0.40)",OK,"[-0.177737, 0.156855]"
284,28,0.4085,-25.1657,-25.1657,-30.8457,-0.088612,1.2313,-1.0,1.2313,33.2523,-1.0,-0.298,BTC,GRID,12,YES_OUTSIDER,"[0.40,0.50)",OK,"[-0.206282, 0.02432]"
57,21,0.5088,0.0838,0.0838,-1.0562,0.00147,0.9684,-1.0,0.9684,6.0784,0.8519,59.6709,BTC,GRID,12,YES_OUTSIDER,"[0.50,0.60)",OK,"[-0.213072, 0.234141]"
4,3,0.5,-1.8947,-1.8947,-1.9747,-0.473684,0.0526,-1.0,0.0526,1.9474,-0.4737,1.0,BTC,GRID,12,YES_OUTSIDER,"[0.90,0.99]",INSUFFICIENT_SAMPLE,
26,14,1.0,0.0935,0.0935,-0.4265,0.003595,0.0036,0.0,,0.0,0.0035,0.3881,BTC,GRID,5,YES_FAVORITE,,OK,"[0.002749, 0.004731]"
70,18,0.5714,3.3303,3.3303,1.9303,0.047576,0.8333,-1.0,0.8333,8.0198,0.7095,1.4425,BTC,GRID,5,YES_FAVORITE,"[0.50,0.60)",OK,"[-0.180673, 0.268645]"
71,21,0.6479,0.1836,0.1836,-1.2364,0.002586,0.5475,-1.0,0.5475,7.3043,0.4925,18.0077,BTC,GRID,5,YES_FAVORITE,"[0.60,0.70)",OK,"[-0.154752, 0.166288]"
109,24,0.7615,1.5829,1.5829,-0.5971,0.014522,0.3323,-1.0,0.3323,4.2745,0.2987,1.3538,BTC,GRID,5,YES_FAVORITE,"[0.70,0.80)",OK,"[-0.081818, 0.106844]"
119,20,0.8571,0.7946,0.7946,-1.5854,0.006677,0.1745,-1.0,0.1745,3.6192,0.1628,1.5731,BTC,GRID,5,YES_FAVORITE,"[0.80,0.90)",OK,"[-0.083946, 0.084309]"
288,24,0.9549,0.5023,0.5023,-5.2577,0.001744,0.0491,-1.0,0.0491,5.2506,0.0417,1.106,BTC,GRID,5,YES_FAVORITE,"[0.90,0.99]",OK,"[-0.020182, 0.023843]"
19,13,0.0,-19.0,-19.0,-19.38,-1.0,0.0,-1.0,0.0,19.0,-1.0,0.2632,BTC,GRID,5,YES_OUTSIDER,,OK,"[-1.0, -1.0]"
120,25,0.0167,-70.0,-70.0,-72.4,-0.583333,24.0,-1.0,24.0,78.0,-1.0,-0.6429,BTC,GRID,5,YES_OUTSIDER,"[0.01,0.05)",OK,"[-1.0, -0.007937]"
139,25,0.0504,-35.6667,-35.6667,-38.4467,-0.256595,13.7619,-1.0,13.7619,53.0,-1.0,-2.0561,BTC,GRID,5,YES_OUTSIDER,"[0.05,0.10)",OK,"[-0.711538, 0.328829]"
