decision_at,day,net,cumnet
2026-08-07 01:20:00+00:00,2026-08-07,2.26943762403429,2.26943762403429
2026-08-07 03:35:00+00:00,2026-08-07,1.5100905640675513,3.779528188101841
2026-08-07 03:35:00+00:00,2026-08-07,-1.0,2.779528188101841
2026-08-07 03:35:00+00:00,2026-08-07,-1.0,1.7795281881018412
2026-08-07 05:10:00+00:00,2026-08-07,1.3310947053845958,3.110622893486437
2026-08-07 07:25:00+00:00,2026-08-07,1.968839065171955,5.079461958658392
2026-08-07 07:50:00+00:00,2026-08-07,-1.0,4.079461958658392
2026-08-07 09:50:00+00:00,2026-08-07,2.1625553447185326,6.242017303376924
2026-08-07 11:55:00+00:00,2026-08-07,-1.0,5.242017303376924
2026-08-07 15:35:00+00:00,2026-08-07,-1.0,4.242017303376924
2026-08-07 17:25:00+00:00,2026-08-07,-1.0,3.242017303376924
2026-08-07 23:20:00+00:00,2026-08-07,-1.0,2.242017303376924
2026-08-08 00:50:00+00:00,2026-08-08,-1.0,1.2420173033769242
2026-08-08 02:40:00+00:00,2026-08-08,-1.0,0.24201730337692418
2026-08-08 13:10:00+00:00,2026-08-08,-1.0,-0.7579826966230758
2026-08-08 13:20:00+00:00,2026-08-08,-1.0,-1.7579826966230758
2026-08-08 14:40:00+00:00,2026-08-08,-1.0,-2.757982696623076
2026-08-08 17:40:00+00:00,2026-08-08,-1.0,-3.757982696623076
2026-08-08 20:05:00+00:00,2026-08-08,-1.0,-4.757982696623076
2026-08-08 20:25:00+00:00,2026-08-08,-1.0,-5.757982696623076
2026-08-09 01:55:00+00:00,2026-08-09,-1.0,-6.757982696623076
2026-08-09 02:05:00+00:00,2026-08-09,3.9572929214814367,-2.800689775141639
2026-08-09 09:50:00+00:00,2026-08-09,2.26943762403429,-0.5312521511073491
2026-08-09 11:28:00+00:00,2026-08-09,-1.0,-1.5312521511073491
2026-08-09 12:10:00+00:00,2026-08-09,-1.0,-2.531252151107349
2026-08-09 17:05:00+00:00,2026-08-09,-1.0,-3.531252151107349
2026-08-09 17:05:00+00:00,2026-08-09,-1.0,-4.531252151107349
2026-08-09 21:10:00+00:00,2026-08-09,9.396847675784702,4.865595524677353
2026-08-09 23:05:00+00:00,2026-08-09,1.5100905640675513,6.375686088744905
2026-08-09 23:20:00+00:00,2026-08-09,-1.0,5.375686088744905
2026-08-09 23:55:00+00:00,2026-08-09,1.5100905640675513,6.885776652812456
2026-08-09 23:58:00+00:00,2026-08-09,-1.0,5.885776652812456
2026-08-10 00:35:00+00:00,2026-08-10,1.7979228220968757,7.683699474909332
2026-08-10 03:05:00+00:00,2026-08-10,-1.0,6.683699474909332
2026-08-10 03:05:00+00:00,2026-08-10,-1.0,5.683699474909332
2026-08-10 03:05:00+00:00,2026-08-10,-1.0,4.683699474909332
2026-08-10 04:20:00+00:00,2026-08-10,2.0625713961956733,6.746270871105006
2026-08-10 04:35:00+00:00,2026-08-10,-1.0,5.746270871105006
2026-08-10 05:20:00+00:00,2026-08-10,-1.0,4.746270871105006
2026-08-10 05:20:00+00:00,2026-08-10,-1.0,3.746270871105006
2026-08-10 05:20:00+00:00,2026-08-10,-1.0,2.746270871105006
2026-08-10 05:35:00+00:00,2026-08-10,2.506963075185781,5.253233946290787
2026-08-10 05:40:00+00:00,2026-08-10,-1.0,4.253233946290787
2026-08-10 07:35:00+00:00,2026-08-10,-1.0,3.253233946290787
2026-08-10 07:35:00+00:00,2026-08-10,-1.0,2.253233946290787
2026-08-10 08:35:00+00:00,2026-08-10,-1.0,1.2532339462907869
2026-08-10 09:05:00+00:00,2026-08-10,-1.0,0.2532339462907869
2026-08-10 10:13:00+00:00,2026-08-10,-1.0,-0.7467660537092131
2026-08-10 12:05:00+00:00,2026-08-10,-1.0,-1.7467660537092131
2026-08-10 12:20:00+00:00,2026-08-10,-1.0,-2.746766053709213
2026-08-10 13:25:00+00:00,2026-08-10,-1.0,-3.746766053709213
2026-08-10 15:13:00+00:00,2026-08-10,3.1059836499731057,-0.6407824037361074
2026-08-10 16:25:00+00:00,2026-08-10,-1.0,-1.6407824037361074
2026-08-10 16:43:00+00:00,2026-08-10,22.316545420630458,20.67576301689435
2026-08-10 18:05:00+00:00,2026-08-10,-1.0,19.67576301689435
2026-08-10 18:05:00+00:00,2026-08-10,1.576210754649416,21.251973771543767
2026-08-10 19:10:00+00:00,2026-08-10,-1.0,20.251973771543767
2026-08-10 20:40:00+00:00,2026-08-10,-1.0,19.251973771543767
2026-08-10 23:35:00+00:00,2026-08-10,3.1059836499731057,22.357957421516872
2026-08-10 23:35:00+00:00,2026-08-10,-1.0,21.357957421516872
2026-08-10 23:35:00+00:00,2026-08-10,3.1059836499731057,24.463941071489977
2026-08-11 00:10:00+00:00,2026-08-11,6.216725482979352,30.68066655446933
2026-08-11 01:10:00+00:00,2026-08-11,17.665422305179654,48.34608885964899
2026-08-11 01:10:00+00:00,2026-08-11,14.56468683850081,62.9107756981498
2026-08-11 02:55:00+00:00,2026-08-11,-1.0,61.9107756981498
2026-08-11 03:20:00+00:00,2026-08-11,-1.0,60.9107756981498
2026-08-11 03:20:00+00:00,2026-08-11,-1.0,59.9107756981498
2026-08-11 03:20:00+00:00,2026-08-11,-1.0,58.9107756981498
