min_edge,trades,net
0.0,1280,450.3000343129491
0.01,1077,460.6839723983827
0.02,910,460.61677222439295
0.03,774,447.2215049488931
0.04,676,407.1290234323795
0.05,591,370.5749739652975
0.07,431,304.69226567595547
0.1,282,234.7636972228528
0.15,134,169.38548215225785
0.2,59,121.90683916620817
