model_registry_id,model_version,oof_artifact_id,artifact_status,invalid_reason,artifact_schema_version,stored_row_count,decoded_row_count,quote_row_count,artifact_sha256,replay_allowed,retrain_required,close_time_status,close_time_join_key,close_time_missing_count,close_time_ambiguous_count
863,18,123,VALID_FOR_REPLAY,,2,21893,21893,4543,d980593fe711330a2c02332a940acdf1922757a3ce31c8a32d238308aa18f223,True,False,RECOVERED,market_id,0,0
864,19,124,VALID_FOR_REPLAY,,2,21893,21893,4543,48b7a77adcc741375051292c3ed4be16ae070879ffdc43ee7191ee5f4899861e,True,False,RECOVERED,market_id,0,0
865,4,125,VALID_FOR_REPLAY,,2,16624,16624,4033,7781cbacc29f48581c71e245ba0b21026e95dbb27bbde4b4a04176cfc1355e8c,True,False,RECOVERED,market_id,0,0
866,5,126,VALID_FOR_REPLAY,,2,16624,16624,4033,181844cbe8de995f3ea3728b335fb2e7f7cf1ed78a77f43e958a738e83f5dfe4,True,False,RECOVERED,market_id,0,0
867,6,127,VALID_FOR_REPLAY,,2,16624,16624,4033,7b77d6373ccf266567b781870b639a76fa070d724b898798d2dfd1c11b19313e,True,False,RECOVERED,market_id,0,0
868,36,128,VALID_FOR_REPLAY,,2,77387,77387,4813,9051d16efcd3efd065d9285e40c39a5ec5883eb0c2009eecd4c1931601d807d9,True,False,RECOVERED,market_id,0,0
869,37,129,VALID_FOR_REPLAY,,2,77387,77387,4813,028419fc46eb66112020c765b978e8296f35749c6f31144bff82fe2cf8ee7d97,True,False,RECOVERED,market_id,0,0
870,38,130,VALID_FOR_REPLAY,,2,77387,77387,4813,00313e56e574a00ae77fb1c4368d4c370d7b6216dc2f6f799f81733a56ad95e0,True,False,RECOVERED,market_id,0,0
871,16,131,VALID_FOR_REPLAY,,2,39225,39225,4735,ac9370744f9394f7ce17bd603c6342e5306f8ccaa4a7e179ee581fa9821f1416,True,False,RECOVERED,market_id,0,0
872,17,132,VALID_FOR_REPLAY,,2,39225,39225,4735,864cff8ab06f2eea68c22d711ab0972e84276b1dc4b9d09ebe22b96626aefd5c,True,False,RECOVERED,market_id,0,0
873,18,133,VALID_FOR_REPLAY,,2,39225,39225,4735,0df938b730a11fa7607faa5b1695b2ca338b1cd6d987f549ef4142349d3109b9,True,False,RECOVERED,market_id,0,0
874,16,134,VALID_FOR_REPLAY,,2,22100,22100,4583,99f4f38ee674ea350fc88c4549dac40dbd1def99206340ee89b79a9d813fe926,True,False,RECOVERED,market_id,0,0
875,17,135,VALID_FOR_REPLAY,,2,22100,22100,4583,7ef1e1b5a51cb48d5240b02edaf01c3edac2939cd428ab0fe95ec65d8182818b,True,False,RECOVERED,market_id,0,0
876,18,136,VALID_FOR_REPLAY,,2,22100,22100,4583,a64893b2fa6ea76054e9f38f2f0e323c0185eb34b9ea0d8242f1c6543afda769,True,False,RECOVERED,market_id,0,0
877,8,137,VALID_FOR_REPLAY,,2,16307,16307,4036,ce3f7910ebf0b0920f18491305e5e9dc305f70fc5783be16108d61f6f29a89a1,True,False,RECOVERED,market_id,0,0
878,9,138,VALID_FOR_REPLAY,,2,16307,16307,4036,35243b83f0f5936f2f6166990c3b71451280ce4b53d399e235771a058ff1dfe4,True,False,RECOVERED,market_id,0,0
879,10,139,VALID_FOR_REPLAY,,2,16307,16307,4036,bed69508521c36cf1d3858b99b6819ce41b518aefb5de2dcb208f02382b97f20,True,False,RECOVERED,market_id,0,0
