asset,status,pnl,strategy_type,amount_usdc,executed_price,outcome_bought
ETH,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.61,NO
SOL,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.77,NO
XRP,SUCCESS,-1,PURE_FAVORITE,1,0.8,YES
DOGE,SUCCESS,0.3513513513513513,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.74,YES
BTC,SUCCESS,-1,PURE_FAVORITE,1,0.69,NO
XRP,SUCCESS,-1,PURE_FAVORITE,1,0.55,YES
ETH,SUCCESS,0.17647058823529416,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.85,NO
BTC,SUCCESS,0.17647058823529416,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.85,NO
BTC,SUCCESS,0.4925373134328357,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.67,YES
ETH,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.53,NO
ETH,SUCCESS,0.8518518518518516,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.54,YES
BTC,SUCCESS,0.26582278481012644,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.79,YES
BTC,SUCCESS,0.40845070422535223,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.71,YES
ETH,SUCCESS,0.8181818181818181,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.55,YES
ETH,SUCCESS,0.639344262295082,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.61,NO
BTC,SUCCESS,0.20481927710843384,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.83,NO
BTC,SUCCESS,0.3157894736842106,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.76,NO
ETH,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.84,NO
BTC,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.73,YES
ETH,SUCCESS,0.8867924528301885,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.53,NO
ETH,SUCCESS,0.40845070422535223,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.71,YES
BTC,SUCCESS,0.33333333333333326,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.75,YES
ETH,SUCCESS,0.5873015873015872,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.63,YES
BTC,SUCCESS,0.2987012987012987,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.77,YES
ETH,SUCCESS,0.3513513513513513,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.74,YES
BTC,SUCCESS,0.23456790123456783,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.81,YES
ETH,SUCCESS,0.3157894736842106,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.76,NO
BTC,SUCCESS,0.6666666666666667,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.6,NO
BTC,SUCCESS,0.20481927710843384,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.83,YES
BTC,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.6,NO
BTC,SUCCESS,0.2987012987012987,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.77,YES
ETH,SUCCESS,0.40845070422535223,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.71,YES
BTC,SUCCESS,0.17647058823529416,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.85,YES
XRP,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.64,YES
ETH,SUCCESS,0.7543859649122808,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.57,NO
SOL,SUCCESS,0.28205128205128194,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.78,NO
BTC,SUCCESS,0.9230769230769229,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.52,NO
XRP,SUCCESS,0.11728395061728392,"time_left_min,mid_price,spread,price_velocity,hour_of_day",0.5,0.81,NO
ETH,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.81,NO
BTC,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.83,NO
BTC,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.7,NO
DOGE,SUCCESS,0.2195121951219512,PURE_FAVORITE,1,0.82,NO
XRP,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.35,YES
ETH,SUCCESS,0.26582278481012644,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.79,YES
BTC,SUCCESS,-1,PURE_FAVORITE,1,0.83,YES
BTC,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.66,NO
XRP,SUCCESS,-1,"time_left_min,mid_price,spread,price_velocity,hour_of_day,price_deviation,deviation_x_time,price_deviation_sq,spread_pct,log_time_left",1,0.788,NO
BTC,SUCCESS,0.17647058823529416,"time_left_min,mid_price,spread,price_velocity,hour_of_day,price_deviation,deviation_x_time,price_deviation_sq,spread_pct,log_time_left",1,0.85,YES
SOL,SUCCESS,0.6129032258064517,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.62,YES
ETH,SUCCESS,0.26582278481012644,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.79,YES
BTC,SUCCESS,0.17647058823529416,"time_left_min,mid_price,spread,price_velocity,hour_of_day",1,0.85,YES
