asset_phase,rank,variant,C,class_weight,sample_weight_mode,calibration,auc,ece,total_pnl,n_trades,win_rate,deployable,t1_pnl,t2_pnl,t3_pnl,median_window_pnl,rejection_reasons
BTC_leaning,5,BASE,0.1,balanced,uniform,RAW,0.5084,0.179,0.0,3830,0.3379,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.1790 > 0.10)
BTC_leaning,6,BASE,0.1,balanced,uniform,PLATT,0.5084,0.179,0.0,3830,0.3379,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.1790 > 0.10)
BTC_leaning,7,BASE,0.1,balanced,time_decay,RAW,0.5098,0.1869,0.0,3830,0.3379,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.1869 > 0.10)
BTC_leaning,8,BASE,0.1,balanced,time_decay,PLATT,0.5098,0.1869,0.0,3830,0.3379,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.1869 > 0.10)
BTC_leaning,9,BASE,1.0,,uniform,RAW,0.5065,0.0047,0.0,1933,0.4956,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
BTC_leaning,10,BASE,1.0,,uniform,PLATT,0.5065,0.0047,0.0,1933,0.4956,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
BTC_contested,1,BASE,0.1,,uniform,RAW,0.5021,0.0075,0.0,1215,0.493,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
BTC_contested,2,BASE,0.1,,uniform,PLATT,0.5021,0.0075,0.0,1215,0.493,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
BTC_contested,3,BASE,0.1,,time_decay,RAW,0.4961,0.0076,0.0,1138,0.493,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
BTC_contested,4,BASE,0.1,,time_decay,PLATT,0.4961,0.0076,0.0,1138,0.493,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
BTC_contested,5,BASE,0.1,balanced,uniform,RAW,0.5004,0.0666,0.0,1980,0.4258,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
BTC_contested,6,BASE,0.1,balanced,uniform,PLATT,0.5004,0.0666,0.0,1980,0.4258,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
BTC_contested,7,BASE,0.1,balanced,time_decay,RAW,0.4909,0.0664,0.0,2018,0.4252,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
BTC_contested,8,BASE,0.1,balanced,time_decay,PLATT,0.4909,0.0664,0.0,2018,0.4252,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
BTC_contested,9,BASE,1.0,,uniform,RAW,0.5048,0.0077,0.0,1361,0.4893,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
BTC_contested,10,BASE,1.0,,uniform,PLATT,0.5048,0.0077,0.0,1361,0.4893,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
ETH,1,BASE,0.1,,uniform,RAW,0.646,0.0081,0.0,2842,0.4631,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
ETH,2,BASE,0.1,,uniform,PLATT,0.646,0.0081,0.0,2842,0.4631,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
ETH,3,BASE,0.1,,time_decay,RAW,0.6462,0.0088,0.0,2756,0.4557,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
ETH,4,BASE,0.1,,time_decay,PLATT,0.6462,0.0088,0.0,2756,0.4557,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
ETH,5,BASE,0.1,balanced,uniform,RAW,0.6468,0.2487,0.0,4018,0.3982,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.2487 > 0.10)
ETH,6,BASE,0.1,balanced,uniform,PLATT,0.6468,0.2487,0.0,4018,0.3982,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.2487 > 0.10)
ETH,7,BASE,0.1,balanced,time_decay,RAW,0.6469,0.3204,0.0,4017,0.3981,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.3204 > 0.10)
ETH,8,BASE,0.1,balanced,time_decay,PLATT,0.6469,0.3204,0.0,4017,0.3981,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.3204 > 0.10)
ETH,9,BASE,1.0,,uniform,RAW,0.646,0.0082,0.0,2842,0.4631,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
ETH,10,BASE,1.0,,uniform,PLATT,0.646,0.0082,0.0,2842,0.4631,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
ETH_decided,1,BASE,0.1,,uniform,RAW,0.6175,0.0066,0.0,3073,0.7651,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
ETH_decided,2,BASE,0.1,,uniform,PLATT,0.6175,0.0066,0.0,3073,0.7651,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
ETH_decided,3,BASE,0.1,,time_decay,RAW,0.618,0.0068,0.0,3009,0.7587,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
ETH_decided,4,BASE,0.1,,time_decay,PLATT,0.618,0.0068,0.0,3009,0.7587,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
ETH_decided,5,BASE,0.1,balanced,uniform,RAW,0.6205,0.3847,0.0,3920,0.1875,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.3847 > 0.10)
ETH_decided,6,BASE,0.1,balanced,uniform,PLATT,0.6205,0.3847,0.0,3920,0.1875,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.3847 > 0.10)
ETH_decided,7,BASE,0.1,balanced,time_decay,RAW,0.6208,0.4424,0.0,3920,0.1875,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.4424 > 0.10)
ETH_decided,8,BASE,0.1,balanced,time_decay,PLATT,0.6208,0.4424,0.0,3920,0.1875,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.4424 > 0.10)
