market_id,trading_mode,final_action,p_flip,fresh_price,candidate_side,lgbm_vote,true_winner
3201821,COMBINED,SKIP,0.4514224180098144,0,,,NO
3201817,COMBINED,SKIP,0.46779485777788254,0,,,NO
3201812,COMBINED,SKIP,0.5255871471644376,0,,,NO
3201815,COMBINED,SKIP,0.548590103979731,0,,,NO
3201817,COMBINED,SKIP,0.4679975481584062,0,,,NO
3201821,COMBINED,SKIP,0.4605369795789917,0,,,NO
3201817,COMBINED,SKIP,0.4672503149281299,0,,,NO
3201821,COMBINED,SKIP,0.4651117086623853,0,,,NO
3201817,COMBINED,SKIP,0.4671039450301975,0,,,NO
3201821,COMBINED,SKIP,0.512479171306875,0,,,NO
3201817,COMBINED,SKIP,0.46733220917318297,0,,,NO
3201821,COMBINED,SKIP,0.5021113008754046,0,,,NO
3201821,COMBINED,SKIP,0.4315975252881939,0,,,NO
3201817,COMBINED,SKIP,0.4669914070906592,0,,,NO
3201812,COMBINED,SKIP,0.46704131220675227,0,,,NO
3201815,COMBINED,SKIP,0.5426174284323291,0,,,NO
3201821,COMBINED,SKIP,0.4252994773462709,0,,,NO
3201812,COMBINED,SKIP,0.459945458080655,0,,,NO
3201817,COMBINED,SKIP,0.4675728693150522,0,,,NO
3201815,COMBINED,SKIP,0.5452150827789198,0,,,NO
3201812,COMBINED,SKIP,0.4662933025692087,0,,,NO
3201815,COMBINED,SKIP,0.5392120567625422,0,,,NO
3201812,COMBINED,SKIP,0.4640360766663675,0,,,NO
3201815,COMBINED,SKIP,0.5428780196342708,0,,,NO
3201821,COMBINED,SKIP,0.46207023952103055,0,,,NO
3201817,COMBINED,SKIP,0.4655348315527039,0,,,NO
3201821,COMBINED,SKIP,0.4755037655124748,0,,,NO
3201812,COMBINED,SKIP,0.5169783460937536,0,,,NO
3201815,COMBINED,SKIP,0.5482492609653066,0,,,NO
3201821,COMBINED,SKIP,0.44222003561790624,0,,,NO
3201817,COMBINED,SKIP,0.4653807337375673,0,,,NO
3201815,COMBINED,SKIP,0.5382232091088488,0,,,NO
3201812,COMBINED,SKIP,0.45258753071515945,0,,,NO
3201815,COMBINED,SKIP,0.5348193051301663,0,,,NO
3201821,COMBINED,SKIP,0.46039963318106714,0,,,NO
3201817,COMBINED,SKIP,0.4671760029737317,0,,,NO
3201812,COMBINED,SKIP,0.45538182149025747,0,,,NO
3201812,COMBINED,SKIP,0.47296607524521217,0,,,NO
3201815,COMBINED,SKIP,0.5345158017465906,0,,,NO
3201812,COMBINED,SKIP,0.5129134911512127,0,,,NO
3201815,COMBINED,SKIP,0.5379392415427678,0,,,NO
3201821,COMBINED,SKIP,0.4693447332815195,0,,,NO
3201815,COMBINED,SKIP,0.5286155401576501,0,,,NO
3201812,COMBINED,SKIP,0.4806495113251684,0,,,NO
3201815,COMBINED,SKIP,0.5338551596173046,0,,,NO
3201815,COMBINED,SKIP,0.508539683478808,0,,,NO
3201821,COMBINED,SKIP,0.4691445303131704,0,,,NO
3201812,COMBINED,SKIP,0.4943113536267994,0,,,NO
3201817,COMBINED,SKIP,0.4680096201982491,0,,,NO
3201815,COMBINED,SKIP,0.5104069415490288,0,,,NO
3201817,COMBINED,SKIP,0.4650884716208142,0,,,NO
