opportunity_id,net_pnl,reproduced_net_pnl,new_net_pnl,sign_changed
2751441_2026-07-02T04:25:35.892961+00:00,-1.002,-1.002000004,-1.0000019999999998,False
2751528_2026-07-02T04:40:34.946494+00:00,-1.002,-1.002,-1.0,False
2753358_2026-07-02T05:25:34.378693+00:00,-1.002,-1.002000004,-1.0000019999999998,False
2753397_2026-07-02T05:40:36.400234+00:00,-1.002,-1.001999998,-0.999999,False
2753490_2026-07-02T05:55:35.270411+00:00,-1.002,-1.00200002,-1.0000099999999998,False
2753523_2026-07-02T06:10:29.662279+00:00,-1.002,-1.001999998,-0.9999990000000001,False
2754100_2026-07-02T07:40:12.670888+00:00,-1.002,-1.001999998,-0.999999,False
2754431_2026-07-02T09:10:40.808212+00:00,-1.002,-1.001999998,-0.999999,False
2754776_2026-07-02T10:10:06.692821+00:00,10.1091,10.109100002,10.111101,False
2755912_2026-07-02T12:10:37.176266+00:00,-1.002,-1.001999988,-0.9999940000000002,False
2755953_2026-07-02T12:25:37.907475+00:00,-1.002,-1.001999998,-0.999999,False
2756340_2026-07-02T13:55:35.822720+00:00,-1.002,-1.002,-1.0,False
2756535_2026-07-02T14:25:36.986322+00:00,-1.002,-1.002,-1.0,False
2756567_2026-07-02T14:40:36.274547+00:00,-1.002,-1.001999988,-0.9999940000000002,False
2757665_2026-07-02T15:10:36.995609+00:00,-1.002,-1.002000004,-1.0000019999999998,False
2757884_2026-07-02T15:55:36.822218+00:00,-1.002,-1.001999998,-0.9999990000000001,False
2758485_2026-07-02T16:25:37.732391+00:00,-1.002,-1.0019999992,-0.9999996,False
2759386_2026-07-02T17:40:37.324208+00:00,-1.002,-1.001999998,-0.9999990000000001,False
2759463_2026-07-02T17:55:37.241511+00:00,-1.002,-1.001999998,-0.9999990000000001,False
2759997_2026-07-02T18:25:35.789104+00:00,2.998,2.998,3.0,False
2760040_2026-07-02T18:40:35.826090+00:00,-1.002,-1.002,-1.0,False
2760135_2026-07-02T18:55:36.701597+00:00,-1.002,-1.002,-1.0,False
2760417_2026-07-02T19:40:35.824446+00:00,-1.002,-1.001999998,-0.999999,False
2760513_2026-07-02T19:55:35.800614+00:00,-1.002,-1.002000024,-1.0000120000000001,False
2760717_2026-07-02T20:25:36.813501+00:00,-1.002,-1.001999998,-0.999999,False
2760792_2026-07-02T20:40:36.760832+00:00,-1.002,-1.002000024,-1.0000120000000001,False
2760981_2026-07-02T21:10:36.774810+00:00,-1.002,-1.002,-1.0,False
2761472_2026-07-02T22:10:36.080533+00:00,-1.002,-1.001999998,-0.999999,False
2763211_2026-07-02T23:10:36.440660+00:00,-1.002,-1.002,-1.0,False
2763309_2026-07-02T23:40:37.610778+00:00,-1.002,-1.002000016,-1.000008,False
2763419_2026-07-03T00:10:36.416744+00:00,-1.002,-1.002,-1.0,False
2763456_2026-07-03T00:25:37.072545+00:00,-1.002,-1.001999998,-0.999999,False
2763640_2026-07-03T01:25:36.907335+00:00,-1.002,-1.002000016,-1.000008,False
2763736_2026-07-03T01:55:35.830278+00:00,-1.002,-1.002000014,-1.0000069999999999,False
2764051_2026-07-03T02:40:35.841703+00:00,-1.002,-1.002,-1.0,False
2764156_2026-07-03T03:10:36.337105+00:00,-1.002,-1.002000004,-1.0000019999999998,False
2764268_2026-07-03T03:40:38.049355+00:00,-1.002,-1.002000004,-1.0000019999999998,False
2764331_2026-07-03T03:55:38.107675+00:00,2.5694,2.5694000160000003,2.571408,False
2764743_2026-07-03T04:10:35.831169+00:00,-1.002,-1.002,-1.0,False
2764792_2026-07-03T04:25:37.516128+00:00,1.9392,1.939199984,1.9411919999999998,False
2764947_2026-07-03T04:55:37.489405+00:00,-1.002,-1.002,-1.0,False
2766161_2026-07-03T06:40:37.535735+00:00,-1.002,-1.002,-1.0,False
2766389_2026-07-03T07:55:36.918483+00:00,-1.002,-1.002000016,-1.000008,False
2766514_2026-07-03T08:40:36.865026+00:00,3.998,3.998,4.0,False
2766648_2026-07-03T09:25:36.860299+00:00,-1.002,-1.001999998,-0.9999990000000001,False
2766677_2026-07-03T09:40:36.369734+00:00,-1.002,-1.002,-1.0,False
2766900_2026-07-03T10:10:36.898219+00:00,2.123,2.123,2.125,False
2767513_2026-07-03T10:55:36.891824+00:00,-1.002,-1.002000012,-1.0000060000000002,False
2767905_2026-07-03T11:25:37.980421+00:00,-1.002,-1.00199997,-0.9999849999999999,False
2767935_2026-07-03T11:40:36.786299+00:00,-1.002,-1.001999998,-0.999999,False
2768466_2026-07-03T12:40:36.330740+00:00,-1.002,-1.002,-1.0,False
2768658_2026-07-03T13:25:35.807718+00:00,2.5694,2.5694000160000003,2.571408,False
2768686_2026-07-03T13:40:35.864544+00:00,7.3313,7.331300008,7.333304,False
2768837_2026-07-03T13:55:37.205090+00:00,-1.002,-1.001999996,-0.9999979999999999,False
2769371_2026-07-03T15:40:36.296843+00:00,-1.002,-1.002000012,-1.0000060000000002,False
2770083_2026-07-03T16:40:36.381175+00:00,-1.002,-1.002000016,-1.0000079999999998,False
2771040_2026-07-03T17:25:36.360667+00:00,-1.002,-1.002,-1.0,False
2771178_2026-07-03T17:55:37.711183+00:00,-1.002,-1.002000016,-1.000008,False
2771478_2026-07-03T18:10:36.896784+00:00,-1.002,-1.001999998,-0.9999990000000001,False
2771626_2026-07-03T18:25:35.786973+00:00,1.498,1.498,1.5,False
2773248_2026-07-03T19:10:35.903171+00:00,-1.002,-1.002000012,-1.0000060000000002,False
2774155_2026-07-03T21:25:36.306437+00:00,-1.002,-1.002,-1.0,False
2774199_2026-07-03T21:40:36.294501+00:00,-1.002,-1.001999998,-0.999999,False
2775359_2026-07-03T22:10:37.218041+00:00,-1.002,-1.001999998,-0.999999,False
2775444_2026-07-03T22:40:37.719610+00:00,-1.002,-1.001999998,-0.9999990000000001,False
2775521_2026-07-03T22:55:35.850079+00:00,-1.002,-1.002000016,-1.000008,False
2777230_2026-07-03T23:10:35.785416+00:00,-1.002,-1.001999998,-0.999999,False
2777455_2026-07-03T23:55:35.802032+00:00,-1.002,-1.0020000008,-1.0000004,False
2777564_2026-07-04T00:25:36.695648+00:00,-1.002,-1.002,-1.0,False
2777594_2026-07-04T00:40:35.797347+00:00,-1.002,-1.002,-1.0,False
2777910_2026-07-04T01:25:35.849461+00:00,-1.002,-1.002,-1.0,False
2777971_2026-07-04T01:40:37.165442+00:00,-1.002,-1.001999998,-0.9999990000000001,False
2778111_2026-07-04T02:25:37.023564+00:00,-1.002,-1.002,-1.0,False
2778136_2026-07-04T02:40:35.790180+00:00,3.998,3.998,4.0,False
2778367_2026-07-04T03:10:35.792281+00:00,6.6903,6.690300002000001,6.6923010000000005,False
2778391_2026-07-04T03:25:35.849865+00:00,1.5621,1.562100002,1.564101,False
2778501_2026-07-04T03:55:38.022194+00:00,-1.002,-1.001999998,-0.999999,False
2780424_2026-07-04T05:10:37.857926+00:00,-1.002,-1.002,-1.0,False
2780454_2026-07-04T05:25:37.461683+00:00,-1.002,-1.002,-1.0,False
2780542_2026-07-04T05:55:35.880397+00:00,-1.002,-1.002,-1.0,False
2780752_2026-07-04T06:25:38.364559+00:00,-1.002,-1.002,-1.0,False
2781426_2026-07-04T07:40:37.227567+00:00,-1.002,-1.001999992,-0.9999959999999999,False
2781558_2026-07-04T08:10:37.806003+00:00,-1.002,-1.001999998,-0.9999990000000001,False
2781803_2026-07-04T09:10:35.829969+00:00,-1.002,-1.00200001,-1.0000049999999998,False
2781839_2026-07-04T09:25:36.281088+00:00,-1.002,-1.001999998,-0.9999990000000001,False
2781874_2026-07-04T09:40:36.293215+00:00,-1.002,-1.001999992,-0.9999959999999999,False
2782071_2026-07-04T10:10:37.672384+00:00,-1.002,-1.002,-1.0,False
2782169_2026-07-04T10:40:35.812496+00:00,-1.002,-1.002000016,-1.000008,False
2782860_2026-07-04T11:25:37.385470+00:00,-1.002,-1.002,-1.0,False
2783265_2026-07-04T12:25:35.792530+00:00,1.9392,1.939199984,1.9411919999999998,False
2783566_2026-07-04T13:10:15.300404+00:00,-1.002,-1.002,-1.0,False
2783694_2026-07-04T13:40:14.710091+00:00,-1.002,-1.002,-1.0,False
2783925_2026-07-04T13:55:15.181661+00:00,-1.002,-1.002000016,-1.000008,False
2784128_2026-07-04T14:40:13.807308+00:00,1.5621,1.562100002,1.564101,False
2784211_2026-07-04T14:55:14.711592+00:00,3.5435,3.54349998,3.54549,False
