opportunity_id,net_pnl,reproduced_net_pnl,new_net_pnl,sign_changed
2821212_2026-07-07T19:10:14.222238+00:00,-1.002,-1.002000016,-1.000008,False
2821421_2026-07-07T20:25:11.757231+00:00,-1.002,-1.001999988,-0.9999940000000002,False
2824755_2026-07-08T01:55:15.726659+00:00,-1.002,-1.002,-1.0,False
2825296_2026-07-08T03:25:13.702773+00:00,-1.002,-1.002,-1.0,False
2826343_2026-07-08T04:55:12.925314+00:00,2.8442,2.844199976,2.8461879999999997,False
2827938_2026-07-08T06:40:12.747761+00:00,-1.002,-1.002000004,-1.0000019999999998,False
2828048_2026-07-08T07:10:13.929785+00:00,4.8804,4.880399983999999,4.882391999999999,False
2828633_2026-07-08T08:40:12.160830+00:00,-1.002,-1.001999992,-0.9999959999999999,False
2829135_2026-07-08T09:55:12.191051+00:00,-1.002,-1.002,-1.0,False
2832377_2026-07-08T15:25:12.759456+00:00,2.0283,2.028300002,2.0303009999999997,False
2835204_2026-07-08T19:10:07.093143+00:00,-1.002,-1.001999984,-0.9999920000000001,False
2836968_2026-07-08T22:40:08.098515+00:00,1.6296,1.629599984,1.6315920000000002,False
2839314_2026-07-08T23:40:08.316982+00:00,-1.002,-1.002,-1.0,False
2843659_2026-07-09T08:10:01.550831+00:00,-1.002,-1.002000016,-1.000008,False
2843903_2026-07-09T09:25:03.020563+00:00,2.4463,2.446299986,2.4482930000000005,False
2845417_2026-07-09T12:25:02.542518+00:00,3.1647,3.164699984,3.166692,False
2845867_2026-07-09T14:10:13.967950+00:00,-1.002,-1.001999998,-0.9999990000000001,False
2845907_2026-07-09T14:25:14.801735+00:00,-1.002,-1.001999998,-0.9999990000000001,False
2849336_2026-07-09T18:25:15.650937+00:00,-1.002,-1.002000012,-1.0000060000000002,False
2850098_2026-07-09T20:10:13.329273+00:00,-1.002,-1.001999996,-0.9999979999999999,False
2855007_2026-07-10T04:55:21.461508+00:00,-1.002,-1.002000016,-1.000008,False
2858600_2026-07-10T11:40:21.633899+00:00,-1.002,-1.002,-1.0,False
2861208_2026-07-10T16:10:21.740500+00:00,2.2238,2.223800004,2.225802,False
2863170_2026-07-10T18:40:21.467934+00:00,-1.002,-1.001999998,-0.9999990000000001,False
2863739_2026-07-10T19:55:21.804441+00:00,-1.002,-1.001999984,-0.9999920000000001,False
2863985_2026-07-10T20:55:21.638784+00:00,-1.002,-1.002000016,-1.000008,False
2865460_2026-07-11T00:55:20.561407+00:00,-1.002,-1.002000024,-1.0000120000000001,False
2866544_2026-07-11T02:55:21.485572+00:00,1.498,1.498,1.5,False
2866651_2026-07-11T03:25:21.524858+00:00,-1.002,-1.001999998,-0.9999990000000001,False
2867815_2026-07-11T05:55:22.462440+00:00,-1.002,-1.002000016,-1.0000079999999998,False
2868832_2026-07-11T09:10:21.045439+00:00,-1.002,-1.002000016,-1.000008,False
2869062_2026-07-11T09:55:21.943890+00:00,-1.002,-1.002000016,-1.0000079999999998,False
2871822_2026-07-11T16:40:22.688090+00:00,-1.002,-1.002,-1.0,False
2873116_2026-07-11T18:40:21.761146+00:00,2.998,2.998,3.0,False
2873452_2026-07-11T19:10:22.176966+00:00,-1.002,-1.002000014,-1.0000069999999999,False
2874061_2026-07-11T21:40:22.869213+00:00,-1.002,-1.002000016,-1.000008,False
2876441_2026-07-12T00:40:21.198382+00:00,-1.002,-1.001999998,-0.999999,False
2877000_2026-07-12T02:40:21.072984+00:00,-1.002,-1.002000024,-1.0000120000000001,False
2877992_2026-07-12T04:10:21.202643+00:00,-1.002,-1.001999998,-0.9999990000000001,False
2879811_2026-07-12T09:10:22.566508+00:00,-1.002,-1.001999998,-0.999999,False
2880340_2026-07-12T10:40:20.786887+00:00,-1.002,-1.002000016,-1.000008,False
2881940_2026-07-12T13:55:20.625166+00:00,-1.002,-1.002000024,-1.0000120000000001,False
2883673_2026-07-12T18:25:18.746995+00:00,2.4463,2.446299986,2.4482930000000005,False
2884392_2026-07-12T20:10:19.904607+00:00,-1.002,-1.002000012,-1.0000060000000002,False
2885380_2026-07-12T22:40:19.131581+00:00,-1.002,-1.001999998,-0.9999990000000001,False
2887418_2026-07-12T23:40:18.572373+00:00,-1.002,-1.001999996,-0.9999979999999999,False
2887659_2026-07-12T23:55:20.718287+00:00,-1.002,-1.002,-1.0,False
