n,days,win_rate,gross_pnl,net_pnl,scenario_net_pnl,expectancy,avg_win,avg_loss,payoff,max_drawdown,median,top5_share,week
4834,7,0.4799,-393.6432,-393.6432,-490.3232,-0.081432,0.9139,-1.0,0.9139,395.3685,-1.0,-0.4827,2026-W32
5212,6,0.5033,-525.3065,-525.3065,-629.5465,-0.100788,0.7868,-1.0,0.7868,566.7205,0.001,-0.2157,2026-W33
4451,7,0.5313,88.0133,88.0133,-1.0067,0.019774,0.9192,-1.0,0.9192,141.4727,0.0204,1.6854,2026-W34
7589,7,0.5044,-693.7272,-693.7272,-845.5072,-0.091412,0.8013,-1.0,0.8013,796.1912,0.002,-0.3171,2026-W35
1379,3,0.4735,-122.5597,-122.5597,-150.1397,-0.088876,0.9241,-1.0,0.9241,165.231,-1.0,-0.2355,2026-W36
